,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,2500,1424,469,1427,508,1350,877,556,combine
RM2Mut16_T152,152.0,152.0,152.0,114.0,152.0,152.0,152.0,110.0,150.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,119.0,118.0,120.0,120.0,120.0,114.0,124.0,122.0,106.0
RM2Mut146_T132,132.0,132.0,132.0,94.0,132.0,132.0,132.0,90.0,130.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,99.0,98.0,100.0,100.0,100.0,94.0,104.0,102.0,86.0
RM2Mut115_T5,20.0,5.0,44.0,205.0,5.0,5.0,5.0,216.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,23.0,216.0,209.0,212.0,216.0,216.0,209.0,1.0,1.0,3.0
RM2Mut24_T148,13.0,26.0,10.0,8.0,27.0,27.0,27.0,106.0,27.0,27.0,27.0,27.0,53.0,27.0,27.0,27.0,10.0,17.0,12.0,13.0,14.0,10.0,20.0,14.0,1.0
RM2Mut108_T67,71.0,71.0,71.0,34.0,71.0,71.0,71.0,29.0,70.0,71.0,71.0,71.0,71.0,72.0,71.0,71.0,39.0,38.0,40.0,40.0,40.0,34.0,44.0,42.0,26.0
RM2Mut195_T161,161.0,161.0,161.0,123.0,161.0,161.0,161.0,119.0,159.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,128.0,127.0,129.0,129.0,129.0,123.0,133.0,131.0,115.0
RM2Mut197_T68,72.0,72.0,72.0,35.0,72.0,72.0,72.0,30.0,71.0,72.0,72.0,72.0,72.0,73.0,72.0,72.0,40.0,39.0,41.0,41.0,41.0,35.0,45.0,43.0,27.0
RM2Mut119_T176,176.0,176.0,176.0,138.0,176.0,176.0,176.0,134.0,174.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,143.0,142.0,144.0,144.0,144.0,138.0,148.0,146.0,130.0
RM2Mut165_T114,114.0,114.0,114.0,76.0,114.0,114.0,114.0,72.0,112.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,81.0,80.0,82.0,82.0,82.0,76.0,86.0,84.0,68.0
RM2Mut14_T176,176.0,176.0,176.0,138.0,176.0,176.0,176.0,134.0,174.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,143.0,142.0,144.0,144.0,144.0,138.0,148.0,146.0,130.0
RM2Mut28_T1,15.0,2.0,6.0,8.0,2.0,2.0,2.0,199.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,8.0,1.0,3.0,1.0,9.0,1.0,9.0,4.0,8.0
RM2Mut110_T148,13.0,26.0,10.0,8.0,27.0,27.0,27.0,106.0,27.0,27.0,27.0,27.0,53.0,27.0,27.0,27.0,10.0,17.0,12.0,13.0,14.0,10.0,20.0,14.0,1.0
RM2Mut192_T30,18.0,6.0,21.0,191.0,6.0,6.0,6.0,208.0,6.0,6.0,6.0,6.0,29.0,6.0,6.0,10.0,20.0,5.0,9.0,6.0,3.0,201.0,4.0,14.0,5.0
RM2Mut172_T114,114.0,114.0,114.0,76.0,114.0,114.0,114.0,72.0,112.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,81.0,80.0,82.0,82.0,82.0,76.0,86.0,84.0,68.0
RM2Mut182_T144,144.0,144.0,144.0,106.0,144.0,144.0,144.0,102.0,142.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,111.0,110.0,112.0,112.0,112.0,106.0,116.0,114.0,98.0
RM2Mut170_T29,53.0,53.0,48.0,17.0,53.0,53.0,53.0,7.0,53.0,53.0,53.0,53.0,53.0,55.0,53.0,53.0,22.0,21.0,23.0,23.0,23.0,17.0,27.0,25.0,9.0
RM2Mut11_T120,13.0,37.0,16.0,13.0,39.0,39.0,39.0,78.0,39.0,39.0,40.0,40.0,53.0,39.0,39.0,40.0,17.0,21.0,18.0,19.0,19.0,14.0,24.0,23.0,5.0
RM2Mut151_T76,77.0,77.0,77.0,40.0,77.0,77.0,77.0,36.0,76.0,77.0,77.0,77.0,77.0,78.0,77.0,77.0,45.0,44.0,46.0,46.0,46.0,40.0,50.0,48.0,32.0
RM2Mut189_T215,215.0,215.0,215.0,177.0,215.0,215.0,215.0,173.0,213.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,182.0,181.0,183.0,183.0,183.0,177.0,187.0,185.0,169.0
RM2Mut152_T75,16.0,37.0,16.0,15.0,38.0,38.0,38.0,42.0,38.0,38.0,39.0,39.0,49.0,39.0,38.0,39.0,18.0,21.0,16.0,18.0,19.0,16.0,26.0,25.0,2.0
RM2Mut181_T68,72.0,72.0,72.0,35.0,72.0,72.0,72.0,30.0,71.0,72.0,72.0,72.0,72.0,73.0,72.0,72.0,40.0,39.0,41.0,41.0,41.0,35.0,45.0,43.0,27.0
RM2Mut187_T29,53.0,53.0,48.0,17.0,53.0,53.0,53.0,7.0,53.0,53.0,53.0,53.0,53.0,55.0,53.0,53.0,22.0,21.0,23.0,23.0,23.0,17.0,27.0,25.0,9.0
RM2Mut17_T119,119.0,119.0,119.0,81.0,119.0,119.0,119.0,77.0,117.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,86.0,85.0,87.0,87.0,87.0,81.0,91.0,89.0,73.0
RM2Mut161_T56,64.0,64.0,64.0,27.0,64.0,64.0,64.0,21.0,63.0,64.0,64.0,64.0,64.0,65.0,64.0,64.0,32.0,31.0,33.0,33.0,33.0,27.0,37.0,35.0,19.0
RM2Mut105_T172,172.0,172.0,172.0,134.0,172.0,172.0,172.0,130.0,170.0,172.0,172.0,172.0,172.0,172.0,172.0,172.0,139.0,138.0,140.0,140.0,140.0,134.0,144.0,142.0,126.0
