,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,2152,1551,1749,1096,2574,1569,1073,721,2391,combine
median_Examscore(%),31.7,31.7,31.7,36.16,31.7,31.7,31.7,40.18,31.25,31.7,31.7,31.7,31.7,32.14,31.7,31.7,37.05,37.5,36.61,33.93,20.09,38.39,36.61,36.61,37.5,11.61
mean_Examscore(%),41.356399999999994,42.44679999999998,40.76759999999999,42.446000000000005,42.5532,42.5532,42.5532,48.463999999999984,42.12480000000001,42.5532,42.66079999999999,42.66079999999999,44.0712,42.65959999999999,42.535199999999996,42.6784,38.6068,39.05319999999999,38.2512,35.66,36.427600000000005,39.85559999999999,38.21440000000001,38.1256,39.0712,25.4116
sd_Examscore(%),32.71174074141168,31.702945015671123,33.1977158200179,33.424063312729245,31.614610377692994,31.614610377692994,31.614610377692994,30.706822260425017,31.222052452286565,31.614610377692994,31.52752011074346,31.52752011074346,30.237431179472463,31.56531066429306,31.625941635520253,31.483320277039816,32.289090355722315,32.23356515600884,32.2434815531243,32.45327423132115,30.610222050811718,32.21565394338597,32.05946598120437,32.17293104977123,32.21590178260833,28.243415999721655
Total_acc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
Total_acc2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0
Total_acc3,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,7.0
Total_acc5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,8.0
rate_acc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.08
rate_acc2,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.0,0.12
rate_acc3,0.0,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.04,0.0,0.04,0.04,0.0,0.28
rate_acc5,0.0,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.04,0.04,0.04,0.04,0.0,0.04,0.04,0.04,0.08,0.04,0.04,0.12,0.04,0.04,0.04,0.08,0.04,0.32
