,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,2152,1551,1749,1096,2574,1569,1073,721,2391,combine
RM2Mut104_T202,202.0,202.0,202.0,164.0,202.0,202.0,202.0,160.0,200.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,171.0,172.0,170.0,164.0,175.0,174.0,170.0,170.0,172.0,156.0
RM2Mut125_T29,53.0,53.0,48.0,17.0,53.0,53.0,53.0,7.0,53.0,53.0,53.0,53.0,53.0,55.0,53.0,53.0,24.0,25.0,23.0,17.0,28.0,27.0,23.0,23.0,25.0,9.0
RM2Mut146_T132,132.0,132.0,132.0,94.0,132.0,132.0,132.0,90.0,130.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,101.0,102.0,100.0,94.0,105.0,104.0,100.0,100.0,102.0,86.0
RM2Mut108_T67,71.0,71.0,71.0,34.0,71.0,71.0,71.0,29.0,70.0,71.0,71.0,71.0,71.0,72.0,71.0,71.0,41.0,42.0,40.0,34.0,45.0,44.0,40.0,40.0,42.0,26.0
RM2Mut100_T205,205.0,205.0,205.0,167.0,205.0,205.0,205.0,163.0,203.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,174.0,175.0,173.0,167.0,178.0,177.0,173.0,173.0,175.0,159.0
RM2Mut173_T11,26.0,20.0,16.0,189.0,20.0,20.0,20.0,186.0,20.0,20.0,20.0,20.0,11.0,20.0,20.0,19.0,20.0,19.0,18.0,16.0,16.0,19.0,17.0,22.0,20.0,1.0
RM2Mut158_T120,13.0,37.0,16.0,13.0,39.0,39.0,39.0,78.0,39.0,39.0,40.0,40.0,53.0,39.0,39.0,40.0,20.0,22.0,20.0,5.0,19.0,24.0,19.0,19.0,22.0,3.0
RM2Mut172_T114,114.0,114.0,114.0,76.0,114.0,114.0,114.0,72.0,112.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,83.0,84.0,82.0,76.0,87.0,86.0,82.0,82.0,84.0,68.0
RM2Mut107_T120,13.0,37.0,16.0,13.0,39.0,39.0,39.0,78.0,39.0,39.0,40.0,40.0,53.0,39.0,39.0,40.0,20.0,22.0,20.0,5.0,19.0,24.0,19.0,19.0,22.0,3.0
RM2Mut139_T75,41.0,42.0,26.0,195.0,42.0,42.0,42.0,196.0,42.0,42.0,44.0,44.0,51.0,39.0,42.0,42.0,197.0,198.0,196.0,190.0,202.0,206.0,196.0,196.0,198.0,8.0
RM2Mut163_T164,164.0,164.0,164.0,126.0,164.0,164.0,164.0,122.0,162.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,133.0,134.0,132.0,126.0,137.0,136.0,132.0,132.0,134.0,118.0
RM2Mut129_T223,223.0,223.0,223.0,185.0,223.0,223.0,223.0,181.0,221.0,223.0,223.0,223.0,223.0,223.0,223.0,223.0,192.0,193.0,191.0,185.0,196.0,195.0,191.0,191.0,193.0,177.0
RM2Mut152_T75,16.0,37.0,16.0,15.0,38.0,38.0,38.0,42.0,38.0,38.0,39.0,39.0,49.0,39.0,38.0,39.0,20.0,20.0,18.0,8.0,25.0,26.0,19.0,18.0,20.0,2.0
RM2Mut171_T16,40.0,34.0,46.0,222.0,33.0,33.0,33.0,218.0,33.0,33.0,33.0,33.0,16.0,33.0,33.0,33.0,222.0,222.0,222.0,222.0,24.0,216.0,218.0,218.0,222.0,1.0
RM2Mut178_T118,118.0,118.0,118.0,80.0,118.0,118.0,118.0,76.0,116.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,87.0,88.0,86.0,80.0,91.0,90.0,86.0,86.0,88.0,72.0
RM2Mut144_T119,119.0,119.0,119.0,81.0,119.0,119.0,119.0,77.0,117.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,88.0,89.0,87.0,81.0,92.0,91.0,87.0,87.0,89.0,73.0
RM2Mut118_T223,223.0,223.0,223.0,185.0,223.0,223.0,223.0,181.0,221.0,223.0,223.0,223.0,223.0,223.0,223.0,223.0,192.0,193.0,191.0,185.0,196.0,195.0,191.0,191.0,193.0,177.0
RM2Mut140_T120,13.0,37.0,16.0,13.0,39.0,39.0,39.0,78.0,39.0,39.0,40.0,40.0,53.0,39.0,39.0,40.0,20.0,22.0,20.0,5.0,19.0,24.0,19.0,19.0,22.0,3.0
RM2Mut194_T31,13.0,4.0,2.0,3.0,4.0,4.0,4.0,191.0,4.0,4.0,4.0,4.0,30.0,4.0,4.0,4.0,3.0,6.0,3.0,8.0,2.0,4.0,2.0,1.0,5.0,4.0
