,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,24,5,1247,1526,1011,8,9,combine
median_Examscore(%),6.67,6.67,13.33,30.0,60.0,60.0,60.0,6.67,40.0,60.0,60.0,60.0,55.0,100.0,100.0,60.0,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67
mean_Examscore(%),7.383571428571426,14.645714285714293,20.47392857142857,24.880357142857143,50.47678571428572,50.00035714285714,50.00035714285714,7.978928571428567,40.9525,52.857142857142854,53.572142857142865,53.572142857142865,55.71464285714286,76.66714285714286,76.18999999999998,51.90535714285715,6.311428571428571,6.192142857142857,7.38285714285714,6.192142857142857,6.787142857142855,6.0735714285714275,5.835,5.714999999999998
sd_Examscore(%),1.8918131892068901,23.4185544400907,22.566901088440353,14.358418225619387,33.8071701855151,34.4380879240954,34.4380879240954,3.054006887481276,21.234781325998227,31.040983047761685,30.155483913426266,30.155483913426266,26.817720438123636,37.80972507243222,38.541129930196604,32.002696932896704,1.65949281472274,1.7503192452571215,1.8933976067784863,1.7503192452571215,2.125046155739015,1.302670232810182,1.472801563159289,2.1974303174389846
Total_acc1,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,6.0,2.0,6.0,5.0,5.0,7.0,10.0
Total_acc2,24.0,21.0,0.0,3.0,3.0,5.0,5.0,23.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,26.0,26.0,20.0,26.0,22.0,28.0,28.0,27.0
Total_acc3,26.0,21.0,0.0,8.0,8.0,8.0,8.0,24.0,3.0,3.0,2.0,2.0,0.0,3.0,3.0,3.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,27.0
Total_acc5,28.0,26.0,23.0,13.0,8.0,8.0,8.0,28.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,8.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
rate_acc1,0.0,0.0,0.0,0.03571428571428571,0.03571428571428571,0.10714285714285714,0.10714285714285714,0.0,0.03571428571428571,0.03571428571428571,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.17857142857142858,0.21428571428571427,0.07142857142857142,0.21428571428571427,0.17857142857142858,0.17857142857142858,0.25,0.35714285714285715
rate_acc2,0.8571428571428571,0.75,0.0,0.10714285714285714,0.10714285714285714,0.17857142857142858,0.17857142857142858,0.8214285714285714,0.03571428571428571,0.03571428571428571,0.0,0.0,0.0,0.03571428571428571,0.03571428571428571,0.0,0.9285714285714286,0.9285714285714286,0.7142857142857143,0.9285714285714286,0.7857142857142857,1.0,1.0,0.9642857142857143
rate_acc3,0.9285714285714286,0.75,0.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.8571428571428571,0.10714285714285714,0.10714285714285714,0.07142857142857142,0.07142857142857142,0.0,0.10714285714285714,0.10714285714285714,0.10714285714285714,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9642857142857143
rate_acc5,1.0,0.9285714285714286,0.8214285714285714,0.4642857142857143,0.2857142857142857,0.2857142857142857,0.2857142857142857,1.0,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.17857142857142858,0.10714285714285714,0.10714285714285714,0.2857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
