,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,143,57,18,828,238,26,130,combine
median_Examscore(%),72.22,72.22,5.56,5.56,5.56,5.56,5.56,100.0,5.56,5.56,5.56,5.56,11.11,5.56,5.56,11.11,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56
mean_Examscore(%),52.962,52.962,17.595666666666666,11.298333333333334,18.149666666666665,17.779666666666664,17.59433333333333,69.44399999999999,18.149666666666665,18.149666666666665,17.778999999999996,17.778999999999996,19.44466666666667,18.149666666666665,18.149666666666665,18.519,10.557666666666666,9.44766666666667,10.557666666666666,7.965000000000002,8.892666666666669,10.372666666666667,10.372666666666667,8.892666666666669
sd_Examscore(%),28.354957895249633,28.354957895249633,22.319593631718682,7.362211101214811,17.377752420707413,17.588574560136227,17.62991514899943,40.34643509441183,17.377752420707413,17.377752420707413,17.467423146512203,17.467423146512203,12.097869784938725,17.377752420707413,17.377752420707413,17.03189064565403,7.342723671740633,4.870922650921937,7.342723671740633,2.7972384781152067,4.9683889939700085,7.398035588905522,7.398035588905522,4.9683889939700085
Total_acc1,1.0,1.0,17.0,17.0,17.0,19.0,19.0,1.0,17.0,17.0,17.0,17.0,0.0,17.0,17.0,13.0,19.0,17.0,19.0,17.0,20.0,20.0,20.0,20.0
Total_acc2,9.0,9.0,18.0,20.0,19.0,19.0,20.0,9.0,19.0,19.0,21.0,21.0,17.0,19.0,19.0,21.0,22.0,22.0,22.0,30.0,22.0,22.0,22.0,22.0
Total_acc3,9.0,9.0,26.0,22.0,21.0,21.0,21.0,9.0,21.0,21.0,21.0,21.0,22.0,21.0,21.0,21.0,22.0,30.0,22.0,30.0,30.0,22.0,22.0,30.0
Total_acc5,9.0,9.0,26.0,30.0,21.0,21.0,21.0,9.0,21.0,21.0,21.0,21.0,22.0,21.0,21.0,21.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
rate_acc1,0.03333333333333333,0.03333333333333333,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.6333333333333333,0.6333333333333333,0.03333333333333333,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.0,0.5666666666666667,0.5666666666666667,0.43333333333333335,0.6333333333333333,0.5666666666666667,0.6333333333333333,0.5666666666666667,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
rate_acc2,0.3,0.3,0.6,0.6666666666666666,0.6333333333333333,0.6333333333333333,0.6666666666666666,0.3,0.6333333333333333,0.6333333333333333,0.7,0.7,0.5666666666666667,0.6333333333333333,0.6333333333333333,0.7,0.7333333333333333,0.7333333333333333,0.7333333333333333,1.0,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333
rate_acc3,0.3,0.3,0.8666666666666667,0.7333333333333333,0.7,0.7,0.7,0.3,0.7,0.7,0.7,0.7,0.7333333333333333,0.7,0.7,0.7,0.7333333333333333,1.0,0.7333333333333333,1.0,1.0,0.7333333333333333,0.7333333333333333,1.0
rate_acc5,0.3,0.3,0.8666666666666667,1.0,0.7,0.7,0.7,0.3,0.7,0.7,0.7,0.7,0.7333333333333333,0.7,0.7,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
