,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,14,2957,186,88,238,2146,1930,combine
0,60.81692308,56.49,57.33269231,63.10115385,64.66269231,64.66269231,64.66269231,60.93730769,65.38384615,64.66269231,64.66269231,64.66269231,64.30307692,65.38384615,62.13884615,64.42269231,55.88884615,56.49,56.85038462,48.43769231,59.85615385,54.32615385,52.40384615,55.28730769
1,46.39423077,40.38423077,44.23153846,52.40461538,59.25423077,59.25423077,59.25423077,46.39423077,58.53269231,59.25423077,59.25423077,59.25423077,51.68423077,58.53269231,61.53807692,59.25423077,40.26384615,41.10538462,41.10538462,43.38961538,43.87115385,49.75846154,43.75076923,40.26384615
2,47.11615385,37.86038462,41.58692308,53.48615385,60.33615385,60.33615385,60.33615385,47.11615385,59.735,60.33615385,60.33615385,60.33615385,52.28461538,59.735,62.86038462,60.33615385,37.86038462,37.86038462,37.86038462,44.11076923,40.98615385,47.235,40.98615385,37.86038462
3,42.42769231,39.42230769,43.02923077,47.35615385,53.60538462,53.60538462,53.60538462,42.42769231,53.12461538,53.60538462,53.60538462,53.60538462,47.59692308,53.12461538,56.24923077,53.84576923,39.18192308,40.38384615,39.90307692,42.30807692,42.66884615,48.91769231,42.78884615,39.06153846
4,48.55846154,40.98653846,43.27,55.40961538,58.05192308,58.05192308,58.05192308,48.67884615,58.17192308,58.05192308,58.05192308,58.05192308,52.64461538,58.17192308,58.17384615,57.81192308,40.86653846,40.025,40.26538462,43.26846154,43.75076923,42.78769231,40.26538462,40.38538462
5,43.63038462,39.06269231,41.10653846,50.00038462,55.40807692,55.40807692,55.40807692,43.63038462,55.64846154,55.40807692,55.40807692,55.40807692,47.83730769,55.64846154,55.88961538,55.40807692,38.70192308,39.30307692,39.42307692,38.34076923,42.42846154,44.59038462,38.82230769,38.58153846
6,42.54730769,43.86961538,46.03423077,47.23576923,53.12461538,53.12461538,53.245,42.54730769,53.365,53.245,53.245,53.245,47.35692308,53.24461538,53.245,53.245,43.26846154,44.83115385,44.47038462,39.78307692,47.95692308,49.15769231,43.26884615,43.02807692
7,49.03884615,43.38961538,47.23576923,54.80807692,58.29307692,58.29307692,58.29307692,49.15923077,57.69153846,58.29307692,58.29307692,58.29307692,54.08730769,57.69153846,60.57692308,58.05307692,43.38961538,43.63,43.75038462,46.27384615,46.635,49.15807692,46.75538462,43.02884615
8,46.27346154,46.27346154,50.12115385,50.48038462,53.72538462,53.72538462,53.72538462,46.39384615,53.12461538,53.72538462,53.72538462,53.72538462,50.96153846,53.12461538,55.76846154,53.48538462,46.03269231,47.95615385,48.07653846,42.66846154,50.24038462,52.04269231,50.12,45.67192308
9,43.51076923,40.38461538,42.42653846,47.35538462,53.24615385,53.24615385,53.36653846,43.51076923,53.60653846,53.36653846,53.36653846,53.36653846,47.35653846,53.48615385,53.60615385,53.60692308,39.90423077,40.14423077,39.30269231,42.54730769,43.50884615,45.67384615,39.06153846,39.54346154
