,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,204,899,760,1433,40,157,317,combine
MLSMut109_T26,22.0,22.0,23.0,23.0,26.0,26.0,26.0,22.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,24.0,25.0,24.0,24.0,24.0,24.0,24.0,24.0
MLSMut10_T11,79.0,79.0,80.0,80.0,2.0,2.0,2.0,80.0,2.0,2.0,2.0,2.0,11.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
MLSMut14_T21,17.0,17.0,18.0,18.0,21.0,21.0,21.0,17.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,19.0,20.0,19.0,19.0,19.0,19.0,19.0,19.0
MLSMut20_T9,8.0,8.0,9.0,9.0,12.0,12.0,12.0,8.0,12.0,12.0,12.0,12.0,9.0,12.0,12.0,12.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0
MLSMut158_T27,23.0,23.0,24.0,24.0,27.0,27.0,27.0,23.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,25.0,26.0,25.0,25.0,25.0,25.0,25.0,25.0
MLSMut185_T26,22.0,22.0,23.0,23.0,26.0,26.0,26.0,22.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,24.0,25.0,24.0,24.0,24.0,24.0,24.0,24.0
MLSMut193_T11,79.0,79.0,80.0,80.0,2.0,2.0,2.0,80.0,2.0,2.0,2.0,2.0,11.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
MLSMut137_T9,8.0,8.0,9.0,9.0,12.0,12.0,12.0,8.0,12.0,12.0,12.0,12.0,9.0,12.0,12.0,12.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0
MLSMut191_T1,1.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MLSMut194_T1,1.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MLSMut181_T11,9.0,8.0,9.0,11.0,15.0,15.0,15.0,9.0,15.0,15.0,15.0,15.0,11.0,15.0,15.0,15.0,10.0,13.0,10.0,9.0,9.0,10.0,9.0,9.0
MLSMut104_T1,78.0,78.0,1.0,1.0,1.0,1.0,1.0,79.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MLSMut196_T26,22.0,22.0,23.0,23.0,26.0,26.0,26.0,22.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,24.0,25.0,24.0,24.0,24.0,24.0,24.0,24.0
MLSMut162_T27,23.0,23.0,24.0,24.0,27.0,27.0,27.0,23.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,25.0,26.0,25.0,25.0,25.0,25.0,25.0,25.0
MLSMut18_T1,1.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MLSMut183_T76,72.0,72.0,73.0,73.0,76.0,76.0,76.0,72.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,74.0,75.0,74.0,74.0,74.0,74.0,74.0,74.0
MLSMut159_T41,37.0,37.0,38.0,38.0,41.0,41.0,41.0,37.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,39.0,40.0,39.0,39.0,39.0,39.0,39.0,39.0
MLSMut108_T27,23.0,23.0,24.0,24.0,27.0,27.0,27.0,23.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,25.0,26.0,25.0,25.0,25.0,25.0,25.0,25.0
MLSMut157_T76,72.0,72.0,73.0,73.0,76.0,76.0,76.0,72.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,74.0,75.0,74.0,74.0,74.0,74.0,74.0,74.0
MLSMut155_T11,9.0,8.0,9.0,11.0,15.0,15.0,15.0,9.0,15.0,15.0,15.0,15.0,11.0,15.0,15.0,15.0,10.0,13.0,10.0,9.0,9.0,10.0,9.0,9.0
MLSMut105_T9,8.0,8.0,9.0,9.0,12.0,12.0,12.0,8.0,12.0,12.0,12.0,12.0,9.0,12.0,12.0,12.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0
MLSMut167_T41,37.0,37.0,38.0,38.0,41.0,41.0,41.0,37.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,39.0,40.0,39.0,39.0,39.0,39.0,39.0,39.0
MLSMut110_T51,47.0,47.0,48.0,48.0,51.0,51.0,51.0,47.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,49.0,50.0,49.0,49.0,49.0,49.0,49.0,49.0
MLSMut103_T1,78.0,78.0,1.0,1.0,1.0,1.0,1.0,79.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MLSMut17_T21,17.0,17.0,18.0,18.0,21.0,21.0,21.0,17.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,19.0,20.0,19.0,19.0,19.0,19.0,19.0,19.0
