,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,204,899,760,1433,40,157,317,combine
0,48.03095238,47.97238095,35.38952381,35.50714286,38.5647619,38.68238095,38.74142857,48.20666667,38.5647619,38.5647619,38.5647619,38.5647619,37.97714286,38.5647619,38.5647619,38.5647619,36.27190476,37.38857143,36.27190476,36.21285714,36.21285714,36.27190476,36.21285714,36.21285714
1,39.44714286,39.33,40.5647619,40.8,39.85904762,39.85904762,39.85904762,39.50619048,39.85904762,39.85904762,39.85904762,39.85904762,39.38904762,39.85904762,39.85904762,39.85904762,36.97857143,38.38857143,36.97857143,36.86047619,36.86047619,36.97857143,36.86047619,36.86047619
2,38.09571429,38.03714286,29.98238095,30.1,33.15619048,33.39142857,33.50952381,38.21285714,33.15619048,33.15619048,33.15619048,33.15619048,32.39238095,33.15619048,33.15619048,33.15619048,30.8047619,31.92047619,30.8047619,30.74571429,30.74571429,30.8047619,30.74571429,30.74571429
3,53.6152381,53.38047619,45.44333333,45.79619048,39.44714286,39.5647619,39.62380952,53.79190476,39.44714286,39.44714286,39.44714286,39.44714286,39.85857143,39.44714286,39.44714286,39.44714286,37.15428571,38.32952381,37.15428571,37.03619048,37.03619048,37.15428571,37.03619048,37.03619048
4,51.03,51.03,43.09190476,43.09190476,36.91904762,36.91904762,36.91904762,51.2652381,36.91904762,36.91904762,36.91904762,36.91904762,37.80095238,36.91904762,36.91904762,36.91904762,34.86095238,35.86047619,34.86095238,34.86095238,34.86095238,34.86095238,34.86095238,34.86095238
5,33.45190476,33.39333333,29.92333333,30.04095238,33.27380952,33.50904762,33.62714286,33.51047619,33.27380952,33.27380952,33.27380952,33.27380952,32.33380952,33.27380952,33.27380952,33.27380952,30.74619048,31.92095238,30.74619048,30.68714286,30.68714286,30.74619048,30.68714286,30.68714286
6,51.55904762,51.55904762,38.97714286,38.97714286,32.45,32.56761905,32.62666667,51.85285714,32.45,32.45,32.45,32.45,33.33190476,32.45,32.45,32.45,30.62714286,31.51,30.62714286,30.62714286,30.62714286,30.62714286,30.62714286,30.62714286
7,50.73619048,50.73619048,38.15285714,38.15285714,31.62666667,31.74428571,31.80333333,51.03,31.62666667,31.62666667,31.62666667,31.62666667,31.62761905,31.62666667,31.62666667,31.62666667,29.51095238,30.39380952,29.51095238,29.51095238,29.51095238,29.51095238,29.51095238,29.51095238
8,42.32952381,42.27095238,34.33333333,34.45095238,33.09714286,33.09714286,33.09714286,42.50571429,33.09714286,33.09714286,33.09714286,33.09714286,33.2147619,33.09714286,33.09714286,33.09714286,30.7452381,31.92142857,30.7452381,30.68619048,30.68619048,30.7452381,30.68619048,30.68619048
9,48.91428571,48.85571429,45.50142857,45.61904762,44.44428571,44.44428571,44.44428571,49.03190476,44.44428571,44.44428571,44.44428571,44.44428571,44.03333333,44.44428571,44.44428571,44.44428571,41.79904762,43.03333333,41.79904762,41.74,41.74,41.79904762,41.74,41.74
10,54.26238095,54.26238095,41.62190476,41.62190476,34.91952381,35.1547619,35.27285714,54.55619048,34.91952381,34.91952381,34.91952381,34.91952381,35.6252381,34.91952381,34.91952381,34.91952381,33.15571429,33.97857143,33.15571429,33.15571429,33.15571429,33.15571429,33.15571429,33.15571429
11,54.20380952,54.20380952,41.62190476,41.62190476,35.09571429,35.21333333,35.27238095,54.49761905,35.09571429,35.09571429,35.09571429,35.09571429,35.80142857,35.09571429,35.09571429,35.09571429,33.21428571,34.09666667,33.21428571,33.21428571,33.21428571,33.21428571,33.21428571,33.21428571
12,46.61952381,46.56095238,47.79619048,47.91380952,46.91333333,46.91333333,46.91333333,46.67857143,46.91333333,46.91333333,46.91333333,46.91333333,47.03095238,46.91333333,46.91333333,46.91333333,44.32619048,45.61952381,44.32619048,44.26714286,44.26714286,44.32619048,44.26714286,44.26714286
13,43.38619048,43.32761905,35.27333333,35.39095238,33.68571429,33.92095238,34.03904762,43.56238095,33.68571429,33.68571429,33.68571429,33.68571429,33.80333333,33.68571429,33.68571429,33.68571429,31.56904762,32.62571429,31.56904762,31.51,31.51,31.56904762,31.51,31.51
14,43.85714286,43.85714286,35.86190476,35.86190476,29.51142857,29.62904762,29.68809524,44.09238095,29.51142857,29.51142857,29.51142857,29.51142857,30.21714286,29.51142857,29.51142857,29.51142857,27.51238095,28.45238095,27.51238095,27.51238095,27.51238095,27.51238095,27.51238095,27.51238095
15,51.55857143,51.44095238,38.91714286,39.0347619,37.15333333,37.27095238,37.33,51.7347619,37.15333333,37.15333333,37.15333333,37.15333333,37.15380952,37.15333333,37.15333333,37.15333333,35.09571429,36.03666667,35.09571429,35.09571429,35.09571429,35.09571429,35.09571429,35.09571429
16,53.7347619,53.67619048,41.15095238,41.26857143,39.74095238,39.74095238,39.74095238,53.96952381,39.74095238,39.74095238,39.74095238,39.74095238,39.68238095,39.74095238,39.74095238,39.74095238,37.44809524,38.56428571,37.44809524,37.38904762,37.38904762,37.44809524,37.38904762,37.38904762
17,58.31857143,58.20095238,50.26333333,50.38095238,53.43904762,53.55666667,53.61571429,58.37714286,53.43904762,53.43904762,53.43904762,53.43904762,53.43904762,53.43904762,53.43904762,53.43904762,51.32190476,52.37952381,51.32190476,51.32190476,51.32190476,51.32190476,51.32190476,51.32190476
18,64.60952381,64.60952381,47.44190476,47.44190476,40.74,40.85761905,40.91666667,64.96190476,40.74,40.74,40.74,40.74,41.62190476,40.74,40.74,40.74,39.0347619,39.85714286,39.0347619,39.0347619,39.0347619,39.0347619,39.0347619,39.0347619
19,50.67619048,50.61761905,51.79333333,51.91095238,45.97285714,46.09047619,46.14952381,50.79428571,45.97285714,45.97285714,45.97285714,45.97285714,46.26714286,45.97285714,45.97285714,45.97285714,43.50380952,44.67904762,43.50380952,43.4447619,43.4447619,43.50380952,43.4447619,43.4447619
20,47.09095238,47.09095238,39.09333333,39.09333333,37.50666667,37.62428571,37.68333333,47.26714286,37.50666667,37.50666667,37.50666667,37.50666667,37.33095238,37.50666667,37.50666667,37.50666667,35.27285714,36.27238095,35.27285714,35.27285714,35.27285714,35.27285714,35.27285714,35.27285714
