,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,504,424,673,1739,2852,11,214,combine
median_Examscore(%),58.82,58.82,11.76,11.76,11.76,5.88,5.88,58.82,11.76,11.76,23.53,23.53,23.53,5.88,11.76,11.76,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88
mean_Examscore(%),42.351000000000006,42.351000000000006,29.408333333333328,15.486666666666661,17.839999999999993,19.802999999999994,23.331,43.723,17.839999999999993,17.839999999999993,30.392666666666667,30.392666666666667,37.452,16.271999999999995,17.839999999999993,17.839999999999993,10.38933333333333,10.38933333333333,10.38933333333333,10.38933333333333,10.38933333333333,10.38933333333333,10.38933333333333,10.38933333333333
sd_Examscore(%),28.916733891736758,28.916733891736758,31.126612528048476,15.1744997834578,21.209995366531224,21.764999607880416,23.042649564785666,30.650067688511623,21.209995366531224,21.209995366531224,16.643786649166966,16.643786649166966,18.439097217784184,21.83077239696928,21.209995366531224,21.209995366531224,7.979805949301385,7.979805949301385,7.979805949301385,7.979805949301385,7.979805949301385,7.979805949301385,7.979805949301385,7.979805949301385
Total_acc1,9.0,9.0,10.0,9.0,9.0,17.0,17.0,9.0,9.0,9.0,0.0,0.0,0.0,17.0,9.0,9.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
Total_acc2,9.0,9.0,19.0,26.0,26.0,17.0,17.0,9.0,26.0,26.0,0.0,0.0,0.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0
Total_acc3,9.0,9.0,19.0,26.0,26.0,17.0,17.0,9.0,26.0,26.0,7.0,7.0,7.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0
Total_acc5,13.0,13.0,19.0,26.0,26.0,26.0,17.0,13.0,26.0,26.0,26.0,26.0,16.0,26.0,26.0,26.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
rate_acc1,0.3,0.3,0.3333333333333333,0.3,0.3,0.5666666666666667,0.5666666666666667,0.3,0.3,0.3,0.0,0.0,0.0,0.5666666666666667,0.3,0.3,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333
rate_acc2,0.3,0.3,0.6333333333333333,0.8666666666666667,0.8666666666666667,0.5666666666666667,0.5666666666666667,0.3,0.8666666666666667,0.8666666666666667,0.0,0.0,0.0,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667
rate_acc3,0.3,0.3,0.6333333333333333,0.8666666666666667,0.8666666666666667,0.5666666666666667,0.5666666666666667,0.3,0.8666666666666667,0.8666666666666667,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667
rate_acc5,0.43333333333333335,0.43333333333333335,0.6333333333333333,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.5666666666666667,0.43333333333333335,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.5333333333333333,0.8666666666666667,0.8666666666666667,0.8666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
