,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,504,424,673,1739,2852,11,214,combine
NetworkMut36_T3,13.0,13.0,14.0,2.0,2.0,1.0,1.0,14.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
NetworkMut169_T11,4.0,4.0,6.0,9.0,12.0,12.0,12.0,4.0,12.0,12.0,12.0,12.0,11.0,12.0,12.0,12.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
NetworkMut55_T11,4.0,4.0,6.0,9.0,12.0,12.0,12.0,4.0,12.0,12.0,12.0,12.0,11.0,12.0,12.0,12.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
NetworkMut11_T9,10.0,10.0,1.0,2.0,2.0,1.0,1.0,10.0,2.0,2.0,5.0,5.0,9.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NetworkMut185_T3,13.0,13.0,14.0,2.0,2.0,1.0,1.0,14.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
NetworkMut198_T4,1.0,1.0,2.0,1.0,1.0,4.0,6.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NetworkMut90_T9,10.0,10.0,1.0,2.0,2.0,1.0,1.0,10.0,2.0,2.0,5.0,5.0,9.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NetworkMut174_T9,10.0,10.0,1.0,2.0,2.0,1.0,1.0,10.0,2.0,2.0,5.0,5.0,9.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NetworkMut75_T9,10.0,10.0,1.0,2.0,2.0,1.0,1.0,10.0,2.0,2.0,5.0,5.0,9.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NetworkMut66_T9,10.0,10.0,1.0,2.0,2.0,1.0,1.0,10.0,2.0,2.0,5.0,5.0,9.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NetworkMut104_T3,13.0,13.0,14.0,2.0,2.0,1.0,1.0,14.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
NetworkMut199_T4,1.0,1.0,2.0,1.0,1.0,4.0,6.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
