,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,1504,44,63,139,2852,117,214,combine
median_Examscore(%),54.345,50.0,36.955,41.305,50.0,50.0,50.0,54.345,50.0,50.0,50.0,50.0,39.129999999999995,50.0,50.0,50.0,36.955,36.955,36.955,39.129999999999995,39.129999999999995,41.305,39.129999999999995,30.43
mean_Examscore(%),48.69466666666666,45.797000000000004,41.159,46.95666666666667,47.10166666666667,47.10166666666667,47.246,51.15833333333334,47.246,47.246,47.681000000000004,47.681000000000004,44.638000000000005,47.246,47.246,47.681000000000004,44.92666666666666,42.46433333333333,44.78266666666668,45.217333333333315,45.217333333333315,46.812000000000005,46.231666666666655,38.696
sd_Examscore(%),30.560527700504995,28.947117556461233,28.216881759097628,30.410594493880982,30.274626576851713,30.274626576851713,30.202788818481533,33.419186733881226,30.202788818481533,30.202788818481533,29.84987106192911,29.84987106192911,30.077334506808988,30.202788818481533,30.202788818481533,29.84987106192911,32.30107250630343,28.60647740530508,27.831928444136597,28.74031710205085,29.961389398902107,30.587313056232972,28.87405339046463,27.412001600104613
Total_acc1,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,4.0
Total_acc2,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,2.0,5.0
Total_acc3,8.0,8.0,7.0,4.0,5.0,5.0,5.0,8.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,7.0,6.0,5.0,6.0,4.0,4.0,4.0,8.0
Total_acc5,9.0,9.0,12.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0,7.0,7.0,9.0,10.0,10.0,7.0,11.0,12.0,7.0,8.0,9.0,9.0,8.0,11.0
rate_acc1,0.06666666666666667,0.06666666666666667,0.1,0.1,0.1,0.1,0.1,0.06666666666666667,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.03333333333333333,0.1,0.1,0.03333333333333333,0.13333333333333333
rate_acc2,0.13333333333333333,0.13333333333333333,0.16666666666666666,0.1,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.16666666666666666,0.13333333333333333,0.13333333333333333,0.1,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.16666666666666666
rate_acc3,0.26666666666666666,0.26666666666666666,0.23333333333333334,0.13333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.26666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.2,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.23333333333333334,0.2,0.16666666666666666,0.2,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.26666666666666666
rate_acc5,0.3,0.3,0.4,0.3,0.3,0.3,0.3333333333333333,0.3,0.3333333333333333,0.3333333333333333,0.23333333333333334,0.23333333333333334,0.3,0.3333333333333333,0.3333333333333333,0.23333333333333334,0.36666666666666664,0.4,0.23333333333333334,0.26666666666666666,0.3,0.3,0.26666666666666666,0.36666666666666664
