,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,1504,44,63,139,2852,117,214,combine
OLSRMut155_T16,7.0,6.0,7.0,9.0,16.0,16.0,16.0,7.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,7.0,8.0,11.0,10.0,10.0,9.0,10.0,10.0
OLSRMut187_T1,16.0,14.0,1.0,3.0,1.0,1.0,1.0,23.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19.0,2.0,2.0,18.0,1.0,1.0,20.0,19.0
OLSRMut112_T3,1.0,1.0,2.0,4.0,11.0,11.0,11.0,1.0,11.0,11.0,11.0,11.0,3.0,11.0,11.0,11.0,2.0,3.0,6.0,5.0,5.0,4.0,5.0,5.0
OLSRMut168_T17,8.0,7.0,8.0,10.0,17.0,17.0,17.0,8.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,8.0,9.0,12.0,11.0,11.0,10.0,11.0,11.0
OLSRMut14_T10,18.0,18.0,17.0,18.0,5.0,5.0,7.0,17.0,7.0,7.0,7.0,7.0,10.0,7.0,7.0,7.0,20.0,20.0,19.0,20.0,19.0,18.0,19.0,20.0
OLSRMut111_T8,21.0,19.0,18.0,21.0,6.0,6.0,5.0,18.0,5.0,5.0,6.0,6.0,8.0,5.0,5.0,6.0,22.0,19.0,20.0,21.0,21.0,21.0,22.0,3.0
OLSRMut108_T23,14.0,13.0,14.0,16.0,23.0,23.0,23.0,14.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,14.0,15.0,18.0,17.0,17.0,16.0,17.0,17.0
OLSRMut183_T19,10.0,9.0,10.0,12.0,19.0,19.0,19.0,10.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,10.0,11.0,14.0,13.0,13.0,12.0,13.0,13.0
OLSRMut124_T8,21.0,19.0,18.0,21.0,6.0,6.0,5.0,18.0,5.0,5.0,6.0,6.0,8.0,5.0,5.0,6.0,22.0,19.0,20.0,21.0,21.0,21.0,22.0,3.0
OLSRMut145_T11,3.0,3.0,4.0,6.0,13.0,13.0,13.0,3.0,13.0,13.0,13.0,13.0,11.0,13.0,13.0,13.0,4.0,5.0,8.0,7.0,7.0,6.0,7.0,7.0
