,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,1504,44,63,139,2852,117,214,combine
0,46.73875,46.91916667,50.36125,45.835,61.04958333,61.04958333,61.04958333,49.99875,61.04958333,61.04958333,61.04958333,61.04958333,61.59375,61.04958333,61.04958333,61.04958333,41.12208333,45.83375,47.28166667,42.93583333,46.92125,46.55958333,42.75458333,46.01541667
1,59.60125,58.51458333,57.97041667,52.71791667,46.92,46.92,46.73833333,61.23083333,46.73833333,46.73833333,47.10125,47.10125,49.09375,46.5575,46.73833333,47.10125,51.63,52.35625,51.44916667,49.63791667,55.79791667,53.4425,49.4575,45.47208333
2,46.91958333,50.18083333,48.00666667,43.11708333,51.08666667,51.08666667,51.2675,48.55,51.2675,51.2675,51.44875,51.44875,51.0875,51.2675,51.2675,51.44875,42.20916667,47.28208333,44.02166667,41.48666667,41.12416667,43.84125,41.66708333,37.86375
3,47.4625,44.20208333,46.37583333,52.17458333,58.51333333,58.51333333,58.51333333,47.46291667,58.51333333,58.51333333,58.3325,58.3325,56.34041667,58.3325,58.51333333,58.3325,46.55625,47.82625,53.62166667,50.18291667,50.1825,52.35583333,50.54458333,46.01625
4,63.22458333,60.86958333,56.15958333,47.82708333,40.03666667,40.03666667,40.03666667,68.115,40.03666667,40.03666667,40.03666667,40.03666667,41.48625,40.03666667,40.03666667,40.03666667,43.65916667,44.74708333,43.29666667,41.6675,45.29125,48.73333333,41.84833333,41.30583333
5,47.2825,50.36166667,49.275,45.83375,50.36208333,50.36208333,49.99958333,46.73916667,49.99958333,49.99958333,50.36208333,50.36208333,50.3625,49.99958333,49.99958333,50.36208333,45.47041667,49.63791667,46.73833333,43.84041667,46.19541667,46.37666667,44.02125,39.855
6,56.7025,59.05791667,54.52916667,46.01541667,38.04291667,38.04291667,38.04291667,59.96333333,38.04291667,38.04291667,37.86208333,37.86208333,39.67375,37.86208333,38.04291667,37.86208333,47.64416667,48.91291667,41.8475,43.66083333,42.3925,46.3775,41.12375,37.86375
7,46.55833333,43.11708333,45.29,42.21041667,49.09458333,49.09458333,49.45666667,53.26,49.45666667,49.45666667,49.45666667,49.45666667,44.02208333,49.45666667,49.45666667,49.45666667,35.50708333,36.41375,37.31916667,37.86333333,42.57375,42.39208333,34.78375,40.4
8,43.29875,50.18125,45.47125,32.97208333,46.73958333,46.73958333,46.55833333,45.83416667,46.55833333,46.55833333,46.73958333,46.73958333,43.47875,46.55833333,46.55833333,46.73958333,37.86291667,42.21,40.2175,40.39875,36.05125,33.69625,40.58,37.50041667
9,48.36916667,50.72416667,41.30416667,40.21791667,47.28333333,47.28333333,47.46416667,53.98458333,47.46416667,47.46416667,47.64541667,47.64541667,49.09541667,47.46416667,47.46416667,47.64541667,48.73125,43.84083333,40.0375,46.01458333,36.59416667,39.67458333,47.645,42.21041667
10,54.16583333,50.90625,46.73833333,46.19583333,47.64541667,47.64541667,47.46375,56.52083333,47.46375,47.46375,48.0075,48.0075,46.01541667,47.46375,47.46375,48.0075,41.12208333,42.39166667,47.46375,49.63875,46.01583333,46.19625,47.28333333,36.41458333
11,45.28916667,45.47083333,45.10791667,40.94291667,50.54333333,50.54333333,51.08625,48.91125,51.08625,51.08625,51.2675,51.2675,50.18166667,51.08625,51.08625,51.2675,38.40541667,40.94291667,43.47833333,41.48541667,44.74666667,41.6675,41.30458333,41.12375
12,56.70166667,52.71666667,52.71666667,51.81291667,57.79041667,57.79041667,57.24666667,58.33166667,57.24666667,57.24666667,57.79041667,57.79041667,58.1525,57.24666667,57.24666667,57.79041667,46.19458333,46.92125,53.26041667,51.81125,55.07291667,52.35666667,51.99291667,44.92791667
13,52.71708333,52.17416667,46.195,46.92041667,44.38458333,44.38458333,44.9275,54.89083333,44.9275,44.9275,44.92791667,44.92791667,45.65333333,44.74666667,44.9275,44.92791667,47.64416667,46.74,45.83375,50.72458333,45.83333333,46.37708333,47.82583333,44.9275
14,45.1075,40.76125,43.47625,48.37,53.98583333,53.98583333,54.16666667,47.82416667,54.16666667,54.16666667,54.34791667,54.34791667,52.71791667,54.16666667,54.16666667,54.34791667,41.66458333,41.48583333,43.65916667,41.305,51.63166667,48.55125,40.94375,45.47208333
15,46.195,41.48666667,40.21583333,48.9125,50.72458333,50.72458333,49.99958333,47.10083333,49.99958333,49.99958333,50.72458333,50.72458333,46.37708333,49.99958333,49.99958333,50.72458333,46.0125,41.84833333,46.55791667,47.64458333,51.44958333,48.55041667,48.55166667,39.85541667
16,52.17333333,50.725,49.27458333,40.9425,39.13166667,39.13166667,40.03666667,55.97625,40.03666667,40.03666667,40.21791667,40.21791667,39.85666667,40.03666667,40.03666667,40.21791667,41.12291667,40.58,43.84125,44.7475,41.30541667,41.48666667,44.56541667,42.57375
17,50,51.44916667,52.89791667,48.00833333,52.17416667,52.17416667,52.355,53.80333333,52.355,52.355,52.53625,52.53625,54.52958333,52.355,52.355,52.53625,47.10083333,48.91416667,43.29708333,41.1225,51.26791667,48.7325,40.76125,45.47083333
18,56.34,53.44333333,53.98541667,50.00125,45.83333333,45.83333333,45.6525,61.95541667,45.6525,45.6525,45.47125,45.47125,43.47875,45.6525,45.6525,45.47125,43.65791667,43.65916667,39.13083333,36.595,44.56625,50.72625,36.77583333,41.12416667
19,53.6225,49.27625,48.00666667,51.26833333,42.57291667,42.57291667,42.39166667,58.3325,42.39166667,42.39166667,42.57291667,42.57291667,40.76166667,42.39166667,42.39166667,42.57291667,48.73041667,44.02208333,42.02916667,46.015,47.46416667,50.72541667,44.0225,40.9425
