,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,2491,1198,98,132,432,2252,1954,combine
median_Examscore(%),52.68,52.68,52.68,47.32,52.68,52.68,52.68,49.11,51.79,52.68,52.68,52.68,52.68,52.68,52.68,52.68,40.62,41.52,38.39,43.75,45.09,44.2,39.73,32.59
mean_Examscore(%),47.375199999999985,47.30359999999999,47.55359999999999,47.695599999999985,47.356799999999986,47.356799999999986,47.356799999999986,52.2504,46.8208,47.356799999999986,47.39279999999999,47.39279999999999,47.785599999999995,47.463999999999984,47.356799999999986,47.767599999999995,41.446,42.036400000000015,39.303200000000004,42.9828,45.87479999999999,43.16040000000001,40.536,30.89280000000001
sd_Examscore(%),31.832520336913316,32.046526577254305,31.649341209573382,30.793471721562454,31.995152200502712,31.995152200502712,31.995152200502712,29.138894465416268,31.609833375074917,31.995152200502712,31.960276584118184,31.960276584118184,31.622976362132643,31.921317589765405,31.995152200502712,31.44356350140147,30.04917136960685,30.240677059219422,30.31521959896272,30.414890749981883,31.23627953731579,31.02770932032635,30.30607199885858,27.534944997221263
Total_acc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
Total_acc2,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0
Total_acc3,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,3.0
Total_acc5,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,6.0
rate_acc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.08
rate_acc2,0.0,0.04,0.0,0.0,0.04,0.04,0.04,0.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.04,0.04,0.0,0.0,0.04,0.04,0.08
rate_acc3,0.0,0.04,0.0,0.0,0.04,0.04,0.04,0.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.0,0.04,0.08,0.12
rate_acc5,0.0,0.08,0.0,0.0,0.08,0.08,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.04,0.04,0.08,0.08,0.0,0.0,0.04,0.08,0.24
