,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,8,211,1487,923,774,22,1658,combine
median_Examscore(%),66.67,66.67,66.67,66.67,18.419999999999998,18.419999999999998,18.419999999999998,66.67,18.419999999999998,18.419999999999998,18.419999999999998,18.419999999999998,31.58,18.419999999999998,18.419999999999998,18.419999999999998,18.419999999999998,18.419999999999998,18.419999999999998,18.419999999999998,18.419999999999998,18.419999999999998,18.419999999999998,18.419999999999998
mean_Examscore(%),65.61466666666666,65.61466666666666,65.61466666666666,65.61466666666666,19.121666666666666,19.121666666666666,19.121666666666666,65.61466666666666,19.121666666666666,19.121666666666666,19.121666666666666,19.121666666666666,26.664333333333335,19.121666666666666,19.121666666666666,19.121666666666666,19.121666666666666,19.121666666666666,19.121666666666666,19.121666666666666,19.121666666666666,19.121666666666666,19.121666666666666,19.121666666666666
sd_Examscore(%),33.963491528133694,33.963491528133694,33.963491528133694,33.963491528133694,17.068998128959908,17.068998128959908,17.068998128959908,33.963491528133694,17.068998128959908,17.068998128959908,17.068998128959908,17.068998128959908,17.2789141348107,17.068998128959908,17.068998128959908,17.068998128959908,17.068998128959908,17.068998128959908,17.068998128959908,17.068998128959908,17.068998128959908,17.068998128959908,17.068998128959908,17.068998128959908
Total_acc1,0.0,0.0,0.0,0.0,9.0,9.0,9.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
Total_acc2,0.0,0.0,0.0,0.0,15.0,15.0,15.0,0.0,15.0,15.0,15.0,15.0,9.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
Total_acc3,0.0,0.0,0.0,0.0,15.0,15.0,15.0,0.0,15.0,15.0,15.0,15.0,9.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
Total_acc5,0.0,0.0,0.0,0.0,15.0,15.0,15.0,0.0,15.0,15.0,15.0,15.0,9.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
rate_acc1,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
rate_acc2,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
rate_acc3,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
rate_acc5,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
