,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,1838,959,445,2519,1665,78,2385,combine
class2Mut135_T9,11.0,9.0,10.0,13.0,8.0,8.0,8.0,13.0,10.0,10.0,10.0,10.0,10.0,7.0,12.0,7.0,17.0,14.0,16.0,15.0,17.0,15.0,14.0,5.0
class2Mut112_T13,2.0,2.0,2.0,4.0,14.0,14.0,14.0,2.0,6.0,14.0,14.0,14.0,14.0,19.0,21.0,14.0,4.0,2.0,5.0,4.0,7.0,2.0,2.0,12.0
class2Mut103_T10,13.0,13.0,13.0,15.0,12.0,12.0,12.0,12.0,15.0,12.0,12.0,12.0,11.0,7.0,9.0,12.0,13.0,14.0,14.0,14.0,13.0,15.0,13.0,1.0
class2Mut109_T3,8.0,8.0,8.0,6.0,6.0,6.0,6.0,4.0,8.0,6.0,6.0,6.0,4.0,14.0,18.0,6.0,6.0,4.0,7.0,6.0,2.0,4.0,4.0,6.0
class2Mut120_T0,5.0,5.0,5.0,7.0,3.0,3.0,3.0,20.0,3.0,3.0,3.0,3.0,1.0,9.0,8.0,3.0,2.0,9.0,1.0,1.0,3.0,9.0,14.0,1.0
class2Mut11_T11,3.0,5.0,4.0,3.0,2.0,2.0,5.0,3.0,9.0,9.0,9.0,9.0,12.0,12.0,12.0,6.0,4.0,5.0,6.0,3.0,12.0,4.0,1.0,1.0
class2Mut118_T8,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,9.0,2.0,2.0,1.0,4.0,1.0,4.0,1.0,14.0,1.0,1.0,1.0
class2Mut107_T7,16.0,16.0,16.0,9.0,14.0,14.0,14.0,5.0,16.0,14.0,14.0,14.0,8.0,16.0,17.0,14.0,9.0,6.0,7.0,6.0,3.0,7.0,5.0,11.0
class2Mut104_T13,3.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,14.0,1.0,1.0,1.0,4.0,1.0,5.0,1.0,15.0,1.0,1.0,1.0
class2Mut114_T1,7.0,7.0,7.0,20.0,5.0,5.0,5.0,18.0,20.0,5.0,5.0,5.0,2.0,17.0,2.0,5.0,18.0,20.0,19.0,19.0,19.0,20.0,20.0,9.0
class2Mut115_T13,2.0,2.0,2.0,4.0,14.0,14.0,14.0,2.0,6.0,14.0,14.0,14.0,14.0,19.0,21.0,14.0,4.0,2.0,5.0,4.0,7.0,2.0,2.0,1.0
class2Mut102_T2,8.0,5.0,8.0,4.0,4.0,4.0,3.0,21.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,5.0,3.0,7.0,1.0,1.0,8.0,2.0
class2Mut101_T15,16.0,16.0,16.0,9.0,16.0,16.0,16.0,7.0,10.0,16.0,16.0,16.0,16.0,10.0,16.0,16.0,8.0,7.0,9.0,9.0,5.0,6.0,7.0,1.0
class2Mut12_T7,11.0,11.0,11.0,8.0,9.0,9.0,9.0,5.0,9.0,9.0,9.0,9.0,8.0,13.0,17.0,9.0,7.0,5.0,8.0,8.0,4.0,5.0,5.0,12.0
class2Mut131_T12,16.0,16.0,16.0,10.0,15.0,15.0,15.0,8.0,14.0,15.0,15.0,15.0,13.0,10.0,14.0,15.0,10.0,12.0,10.0,10.0,8.0,10.0,9.0,7.0
class2Mut100_T15,18.0,18.0,18.0,10.0,18.0,18.0,18.0,5.0,15.0,18.0,18.0,18.0,16.0,14.0,15.0,18.0,7.0,5.0,7.0,5.0,11.0,6.0,5.0,5.0
class2Mut124_T9,13.0,13.0,13.0,17.0,12.0,12.0,12.0,13.0,19.0,12.0,12.0,12.0,10.0,11.0,8.0,12.0,15.0,19.0,15.0,15.0,13.0,16.0,16.0,4.0
class2Mut119_T7,11.0,11.0,11.0,8.0,9.0,9.0,9.0,5.0,9.0,9.0,9.0,9.0,8.0,13.0,17.0,9.0,7.0,5.0,8.0,8.0,4.0,5.0,5.0,2.0
class2Mut133_T10,13.0,13.0,13.0,15.0,12.0,12.0,12.0,12.0,15.0,12.0,12.0,12.0,11.0,7.0,9.0,12.0,13.0,14.0,14.0,14.0,13.0,15.0,13.0,8.0
class2Mut106_T15,18.0,18.0,18.0,10.0,18.0,18.0,18.0,5.0,15.0,18.0,18.0,18.0,16.0,14.0,16.0,18.0,7.0,5.0,7.0,5.0,11.0,6.0,5.0,3.0
class2Mut126_T14,15.0,15.0,15.0,14.0,15.0,15.0,15.0,11.0,14.0,15.0,15.0,15.0,15.0,6.0,10.0,15.0,12.0,13.0,13.0,13.0,12.0,13.0,12.0,3.0
class2Mut136_T14,15.0,15.0,15.0,14.0,15.0,15.0,15.0,11.0,14.0,15.0,15.0,15.0,15.0,6.0,10.0,15.0,12.0,13.0,13.0,13.0,12.0,13.0,12.0,4.0
class2Mut110_T2,8.0,5.0,8.0,3.0,5.0,5.0,3.0,21.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,6.0,2.0,6.0,1.0,3.0,8.0,1.0
class2Mut117_T11,3.0,3.0,3.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,2.0,2.0,12.0,1.0,1.0,1.0,3.0,5.0,4.0,5.0,17.0,4.0,1.0,2.0
class2Mut127_T12,14.0,14.0,14.0,11.0,13.0,13.0,13.0,8.0,11.0,13.0,13.0,13.0,13.0,5.0,13.0,13.0,9.0,10.0,10.0,10.0,9.0,10.0,9.0,6.0
class2Mut108_T8,1.0,1.0,1.0,3.0,10.0,10.0,10.0,1.0,5.0,10.0,10.0,10.0,9.0,18.0,20.0,10.0,3.0,1.0,4.0,3.0,6.0,1.0,1.0,10.0
class2Mut130_T11,3.0,3.0,3.0,1.0,1.0,1.0,1.0,6.0,3.0,3.0,3.0,3.0,12.0,3.0,19.0,2.0,3.0,7.0,3.0,7.0,9.0,1.0,6.0,1.0
class2Mut128_T14,15.0,15.0,15.0,14.0,15.0,15.0,15.0,11.0,14.0,15.0,15.0,15.0,15.0,6.0,10.0,15.0,12.0,13.0,13.0,13.0,12.0,13.0,12.0,1.0
class2Mut111_T7,11.0,11.0,11.0,8.0,9.0,9.0,9.0,5.0,9.0,9.0,9.0,9.0,8.0,13.0,17.0,9.0,7.0,5.0,8.0,8.0,4.0,5.0,5.0,1.0
class2Mut116_T0,4.0,4.0,4.0,6.0,2.0,2.0,2.0,20.0,1.0,1.0,1.0,1.0,1.0,2.0,17.0,3.0,1.0,2.0,1.0,4.0,2.0,8.0,14.0,15.0
