,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,2655,2384,2185,1141,1631,1849,combine
median_Examscore(%),58.82,58.82,11.76,29.41,11.76,11.76,5.88,29.41,11.76,47.06,5.88,11.76,11.76,11.76,58.82,11.76,5.88,5.88,11.76,5.88,5.88,5.88,5.88
mean_Examscore(%),40.43916666666667,40.43916666666667,25.241666666666664,32.59833333333333,16.90833333333333,19.849999999999998,21.812916666666663,32.59833333333333,12.986666666666666,43.62708333333333,18.38,19.849999999999998,19.849999999999998,19.849999999999998,41.41916666666667,19.849999999999998,10.781666666666665,10.781666666666665,12.986666666666666,10.781666666666665,10.781666666666665,10.781666666666665,10.781666666666665
sd_Examscore(%),27.7704963736801,27.7704963736801,28.04924050226001,17.857417814860376,16.666892897015323,23.326735920305104,23.625341861647428,17.857417814860376,7.945460101962885,14.914509270350209,23.994163420733585,23.326735920305104,23.326735920305104,23.326735920305104,29.153081113422594,23.326735920305104,8.788107411954975,8.788107411954975,7.945460101962885,8.788107411954975,8.788107411954975,8.788107411954975,8.788107411954975
Total_acc1,7.0,7.0,9.0,0.0,7.0,7.0,13.0,0.0,7.0,0.0,13.0,7.0,7.0,7.0,7.0,7.0,16.0,16.0,7.0,16.0,16.0,16.0,16.0
Total_acc2,7.0,7.0,16.0,0.0,20.0,20.0,13.0,0.0,20.0,0.0,20.0,20.0,20.0,20.0,7.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
Total_acc3,7.0,7.0,16.0,4.0,20.0,20.0,13.0,4.0,20.0,0.0,20.0,20.0,20.0,20.0,7.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
Total_acc5,11.0,11.0,16.0,20.0,20.0,20.0,20.0,20.0,24.0,4.0,20.0,20.0,20.0,20.0,11.0,20.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
rate_acc1,0.2916666666666667,0.2916666666666667,0.375,0.0,0.2916666666666667,0.2916666666666667,0.5416666666666666,0.0,0.2916666666666667,0.0,0.5416666666666666,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.6666666666666666,0.6666666666666666,0.2916666666666667,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
rate_acc2,0.2916666666666667,0.2916666666666667,0.6666666666666666,0.0,0.8333333333333334,0.8333333333333334,0.5416666666666666,0.0,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.2916666666666667,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
rate_acc3,0.2916666666666667,0.2916666666666667,0.6666666666666666,0.16666666666666666,0.8333333333333334,0.8333333333333334,0.5416666666666666,0.16666666666666666,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.2916666666666667,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
rate_acc5,0.4583333333333333,0.4583333333333333,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,0.16666666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.4583333333333333,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0
