,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,1742,760,72,238,225,472,650,combine
median_Examscore(%),72.22,72.22,5.56,5.56,5.56,5.56,5.56,5.56,11.11,5.56,5.56,5.56,11.11,5.56,100.0,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56
mean_Examscore(%),61.537692307692325,61.537692307692325,22.65230769230769,12.822307692307694,10.045384615384618,13.463846153846156,12.82346153846154,12.822307692307694,32.26692307692307,17.73653846153846,13.463846153846156,13.463846153846156,14.103076923076928,13.463846153846156,80.12769230769231,13.463846153846156,8.550000000000002,8.76346153846154,8.550000000000002,7.696153846153847,9.403846153846159,9.403846153846159,7.694615384615387,7.696153846153847
sd_Examscore(%),22.05052313351179,22.05052313351179,27.970870892082328,13.942974806745456,6.480248903101936,13.97867091734349,14.205927197422257,13.942974806745456,35.52087901718996,16.175586775708062,13.97867091734349,13.97867091734349,13.444194812403092,13.97867091734349,32.0564969150021,13.97867091734349,6.129876997134609,6.118214080796909,6.129876997134609,4.179432570981927,6.036169034692832,6.036169034692832,2.7535711078804277,4.179432570981927
Total_acc1,0.0,0.0,16.0,16.0,16.0,16.0,19.0,16.0,10.0,16.0,16.0,16.0,10.0,16.0,0.0,16.0,20.0,19.0,20.0,20.0,16.0,16.0,16.0,20.0
Total_acc2,4.0,4.0,16.0,22.0,19.0,19.0,19.0,22.0,17.0,16.0,19.0,19.0,22.0,19.0,4.0,19.0,22.0,22.0,22.0,22.0,22.0,22.0,26.0,22.0
Total_acc3,4.0,4.0,20.0,22.0,22.0,22.0,22.0,22.0,17.0,16.0,22.0,22.0,22.0,22.0,4.0,22.0,22.0,22.0,22.0,26.0,22.0,22.0,26.0,26.0
Total_acc5,4.0,4.0,20.0,22.0,26.0,22.0,22.0,22.0,17.0,17.0,22.0,22.0,22.0,22.0,4.0,22.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0
rate_acc1,0.0,0.0,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.7307692307692307,0.6153846153846154,0.38461538461538464,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.38461538461538464,0.6153846153846154,0.0,0.6153846153846154,0.7692307692307693,0.7307692307692307,0.7692307692307693,0.7692307692307693,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.7692307692307693
rate_acc2,0.15384615384615385,0.15384615384615385,0.6153846153846154,0.8461538461538461,0.7307692307692307,0.7307692307692307,0.7307692307692307,0.8461538461538461,0.6538461538461539,0.6153846153846154,0.7307692307692307,0.7307692307692307,0.8461538461538461,0.7307692307692307,0.15384615384615385,0.7307692307692307,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,1.0,0.8461538461538461
rate_acc3,0.15384615384615385,0.15384615384615385,0.7692307692307693,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.6538461538461539,0.6153846153846154,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.15384615384615385,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,1.0,0.8461538461538461,0.8461538461538461,1.0,1.0
rate_acc5,0.15384615384615385,0.15384615384615385,0.7692307692307693,0.8461538461538461,1.0,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.6538461538461539,0.6538461538461539,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.15384615384615385,0.8461538461538461,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
