,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,2641,2043,2995,1787,1744,479,1166,2705,combine
median_Examscore(%),23.685,24.56,22.805,35.09,24.56,24.56,24.56,55.705,24.56,24.56,24.56,24.56,19.740000000000002,24.56,24.56,23.68,4.39,8.774999999999999,16.23,13.16,12.28,13.16,13.16,3.51,3.9499999999999997
mean_Examscore(%),27.463461538461534,30.093846153846147,27.934615384615384,45.30923076923078,30.33038461538461,30.33038461538461,30.33038461538461,52.42923076923077,31.139615384615375,30.33038461538461,30.364230769230762,30.364230769230762,29.926153846153838,27.901538461538454,27.76653846153846,31.208076923076913,21.22269230769231,21.727692307692305,22.977307692307697,19.568846153846152,21.356923076923074,19.67076923076923,23.111538461538466,16.869230769230768,15.216153846153846
sd_Examscore(%),26.25183329861862,24.073304729832685,25.820063552326005,38.99594470434862,23.844655330831557,23.844655330831557,23.844655330831557,34.58019096801831,27.398882529149866,23.844655330831557,23.809543661830553,23.809543661830553,23.881978657878932,21.934444272387246,21.98030863155614,22.927971217572786,26.07501095803295,25.183835340581833,24.4128729251913,20.88200686273675,25.05779986658538,20.576134121467412,24.38040831361242,20.1703733080133,21.34424626486924
Total_acc1,6.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Total_acc2,8.0,2.0,5.0,8.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,12.0,6.0,6.0,6.0,8.0,6.0,7.0,10.0,10.0
Total_acc3,8.0,2.0,7.0,8.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,12.0,10.0,6.0,7.0,8.0,7.0,7.0,12.0,11.0
Total_acc5,9.0,4.0,9.0,8.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0,14.0,10.0,7.0,9.0,10.0,9.0,7.0,14.0,15.0
rate_acc1,0.23076923076923078,0.0,0.038461538461538464,0.038461538461538464,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34615384615384615,0.11538461538461539,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.23076923076923078
rate_acc2,0.3076923076923077,0.07692307692307693,0.19230769230769232,0.3076923076923077,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.11538461538461539,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.46153846153846156,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.3076923076923077,0.23076923076923078,0.2692307692307692,0.38461538461538464,0.38461538461538464
rate_acc3,0.3076923076923077,0.07692307692307693,0.2692307692307692,0.3076923076923077,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.11538461538461539,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.46153846153846156,0.38461538461538464,0.23076923076923078,0.2692307692307692,0.3076923076923077,0.2692307692307692,0.2692307692307692,0.46153846153846156,0.4230769230769231
rate_acc5,0.34615384615384615,0.15384615384615385,0.34615384615384615,0.3076923076923077,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.11538461538461539,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.11538461538461539,0.11538461538461539,0.15384615384615385,0.07692307692307693,0.5384615384615384,0.38461538461538464,0.2692307692307692,0.34615384615384615,0.38461538461538464,0.34615384615384615,0.2692307692307692,0.5384615384615384,0.5769230769230769
