,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,738,1961,490,combine
median_Examscore(%),98.25,98.25,98.25,3.51,98.25,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,98.25,3.51,3.51,3.51,3.51,3.51
mean_Examscore(%),71.69136363636363,71.69136363636363,71.69136363636363,16.10727272727273,71.69136363636363,16.10727272727273,16.10727272727273,16.10727272727273,16.10727272727273,16.10727272727273,16.10727272727273,16.10727272727273,16.10727272727273,16.10727272727273,71.69136363636363,16.10727272727273,16.10727272727273,16.10727272727273,16.10727272727273,16.10727272727273
sd_Examscore(%),33.71483795084811,33.71483795084811,33.71483795084811,16.764289478877473,33.71483795084811,16.764289478877473,16.764289478877473,16.764289478877473,16.764289478877473,16.764289478877473,16.764289478877473,16.764289478877473,16.764289478877473,16.764289478877473,33.71483795084811,16.764289478877473,16.764289478877473,16.764289478877473,16.764289478877473,16.764289478877473
Total_acc1,0.0,0.0,0.0,7.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,7.0,7.0,7.0,7.0,7.0
Total_acc2,0.0,0.0,0.0,13.0,0.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,0.0,13.0,13.0,13.0,13.0,13.0
Total_acc3,0.0,0.0,0.0,13.0,0.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,0.0,13.0,13.0,13.0,13.0,13.0
Total_acc5,0.0,0.0,0.0,13.0,0.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,0.0,13.0,13.0,13.0,13.0,13.0
rate_acc1,0.0,0.0,0.0,0.3181818181818182,0.0,0.3181818181818182,0.3181818181818182,0.3181818181818182,0.3181818181818182,0.3181818181818182,0.3181818181818182,0.3181818181818182,0.3181818181818182,0.3181818181818182,0.0,0.3181818181818182,0.3181818181818182,0.3181818181818182,0.3181818181818182,0.3181818181818182
rate_acc2,0.0,0.0,0.0,0.5909090909090909,0.0,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.0,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.5909090909090909
rate_acc3,0.0,0.0,0.0,0.5909090909090909,0.0,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.0,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.5909090909090909
rate_acc5,0.0,0.0,0.0,0.5909090909090909,0.0,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.0,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.5909090909090909
