,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,530,2924,1996,801,combine
median_Examscore(%),98.25,98.25,98.25,2.63,98.25,2.63,2.63,2.63,2.63,2.63,2.63,2.63,2.63,2.63,98.25,2.63,2.63,2.63,2.63,2.63,2.63
mean_Examscore(%),67.70409090909091,67.70409090909091,67.70409090909091,16.66363636363636,67.70409090909091,16.66363636363636,16.66363636363636,16.66363636363636,16.66363636363636,16.66363636363636,16.66363636363636,16.66363636363636,16.66363636363636,16.66363636363636,67.70409090909091,16.66363636363636,16.66363636363636,16.66363636363636,16.66363636363636,16.66363636363636,16.66363636363636
sd_Examscore(%),34.4449847975816,34.4449847975816,34.4449847975816,16.624923500133207,34.4449847975816,16.624923500133207,16.624923500133207,16.624923500133207,16.624923500133207,16.624923500133207,16.624923500133207,16.624923500133207,16.624923500133207,16.624923500133207,34.4449847975816,16.624923500133207,16.624923500133207,16.624923500133207,16.624923500133207,16.624923500133207,16.624923500133207
Total_acc1,0.0,0.0,0.0,11.0,0.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,0.0,11.0,11.0,11.0,11.0,11.0,11.0
Total_acc2,0.0,0.0,0.0,12.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0
Total_acc3,0.0,0.0,0.0,12.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0
Total_acc5,0.0,0.0,0.0,12.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0
rate_acc1,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5
rate_acc2,0.0,0.0,0.0,0.5454545454545454,0.0,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.0,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454
rate_acc3,0.0,0.0,0.0,0.5454545454545454,0.0,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.0,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454
rate_acc5,0.0,0.0,0.0,0.5454545454545454,0.0,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.0,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454
