,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,2801,68,921,1473,2579,327,combine
median_Examscore(%),35.09,35.09,35.09,33.33,35.09,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,35.09,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33
mean_Examscore(%),62.84000000000001,62.84000000000001,62.84000000000001,20.892272727272726,62.84000000000001,20.892272727272726,20.892272727272726,20.892272727272726,20.892272727272726,20.892272727272726,20.892272727272726,20.892272727272726,20.892272727272726,20.892272727272726,62.84000000000001,20.892272727272726,20.892272727272726,20.892272727272726,20.892272727272726,20.892272727272726,20.892272727272726,20.892272727272726,20.892272727272726
sd_Examscore(%),33.63792714863897,33.63792714863897,33.63792714863897,17.51169267384025,33.63792714863897,17.51169267384025,17.51169267384025,17.51169267384025,17.51169267384025,17.51169267384025,17.51169267384025,17.51169267384025,17.51169267384025,17.51169267384025,33.63792714863897,17.51169267384025,17.51169267384025,17.51169267384025,17.51169267384025,17.51169267384025,17.51169267384025,17.51169267384025,17.51169267384025
Total_acc1,0.0,0.0,0.0,7.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
Total_acc2,0.0,0.0,0.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Total_acc3,0.0,0.0,0.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Total_acc5,0.0,0.0,0.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
rate_acc1,0.0,0.0,0.0,0.3181818181818182,0.0,0.3181818181818182,0.3181818181818182,0.3181818181818182,0.3181818181818182,0.3181818181818182,0.3181818181818182,0.3181818181818182,0.3181818181818182,0.3181818181818182,0.0,0.3181818181818182,0.3181818181818182,0.3181818181818182,0.3181818181818182,0.3181818181818182,0.3181818181818182,0.3181818181818182,0.3181818181818182
rate_acc2,0.0,0.0,0.0,0.45454545454545453,0.0,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.0,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453
rate_acc3,0.0,0.0,0.0,0.45454545454545453,0.0,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.0,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453
rate_acc5,0.0,0.0,0.0,0.45454545454545453,0.0,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.0,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453
