,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,2801,68,921,1473,2579,327,combine
SIPMut108_T21,20.0,20.0,20.0,22.0,20.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,20.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
SIPMut182_T21,20.0,20.0,20.0,22.0,20.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,20.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
SIPMut109_T1,56.0,56.0,56.0,1.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SIPMut161_T21,20.0,20.0,20.0,22.0,20.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,20.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
SIPMut193_T18,17.0,17.0,17.0,19.0,17.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,17.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
SIPMut166_T1,56.0,56.0,56.0,1.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SIPMut148_T18,17.0,17.0,17.0,19.0,17.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,17.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
SIPMut122_T1,56.0,56.0,56.0,1.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SIPMut111_T21,20.0,20.0,20.0,22.0,20.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,20.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
SIPMut156_T1,56.0,56.0,56.0,1.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SIPMut128_T21,20.0,20.0,20.0,22.0,20.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,20.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
SIPMut145_T18,17.0,17.0,17.0,19.0,17.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,17.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
SIPMut150_T21,20.0,20.0,20.0,22.0,20.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,20.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
SIPMut14_T26,57.0,57.0,57.0,2.0,57.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,57.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
SIPMut146_T18,17.0,17.0,17.0,19.0,17.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,17.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
SIPMut200_T26,57.0,57.0,57.0,2.0,57.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,57.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
SIPMut23_T21,20.0,20.0,20.0,22.0,20.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,20.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
SIPMut168_T1,56.0,56.0,56.0,1.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SIPMut10_T1,56.0,56.0,56.0,1.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SIPMut136_T26,57.0,57.0,57.0,2.0,57.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,57.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
SIPMut185_T18,17.0,17.0,17.0,19.0,17.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,17.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
SIPMut151_T1,56.0,56.0,56.0,1.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
