,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,702,2271,888,239,2361,629,1886,combine
median_Examscore(%),35.09,35.09,35.09,33.33,35.09,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,35.09,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33
mean_Examscore(%),59.49,59.49,59.49,22.08818181818182,59.49,22.08818181818182,22.08818181818182,22.08818181818182,22.08818181818182,22.08818181818182,22.08818181818182,22.08818181818182,22.08818181818182,22.08818181818182,59.49,22.08818181818182,22.08818181818182,22.08818181818182,22.08818181818182,22.08818181818182,22.08818181818182,22.08818181818182,22.08818181818182,22.08818181818182
sd_Examscore(%),33.57403205710373,33.57403205710373,33.57403205710373,16.956227297245224,33.57403205710373,16.956227297245224,16.956227297245224,16.956227297245224,16.956227297245224,16.956227297245224,16.956227297245224,16.956227297245224,16.956227297245224,16.956227297245224,33.57403205710373,16.956227297245224,16.956227297245224,16.956227297245224,16.956227297245224,16.956227297245224,16.956227297245224,16.956227297245224,16.956227297245224,16.956227297245224
Total_acc1,0.0,0.0,0.0,6.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Total_acc2,0.0,0.0,0.0,9.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
Total_acc3,0.0,0.0,0.0,9.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
Total_acc5,0.0,0.0,0.0,9.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
rate_acc1,0.0,0.0,0.0,0.2727272727272727,0.0,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.0,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727
rate_acc2,0.0,0.0,0.0,0.4090909090909091,0.0,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.0,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.4090909090909091
rate_acc3,0.0,0.0,0.0,0.4090909090909091,0.0,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.0,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.4090909090909091
rate_acc5,0.0,0.0,0.0,0.4090909090909091,0.0,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.0,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.4090909090909091
