,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,1536,787,667,893,168,combine
median_Examscore(%),38.1,38.1,38.1,38.095,33.33,33.33,33.33,38.095,23.81,76.19,66.67,69.045,33.33,38.095,26.189999999999998,38.1,33.335,33.33,28.57,28.57,33.33,14.29
mean_Examscore(%),39.28574999999999,38.92849999999999,39.0475,42.26174999999999,42.024499999999996,40.713999999999984,40.713999999999984,42.26174999999999,40.594999999999985,63.45250000000002,57.26150000000001,62.7375,41.190249999999985,41.90474999999999,41.42849999999999,47.02499999999999,37.857749999999996,41.19124999999999,34.40499999999999,37.1425,41.1915,21.904499999999995
sd_Examscore(%),23.496230236370106,23.30100708179028,23.630981592512,22.31367395963567,26.500290366091836,23.27713016499132,23.27713016499132,22.31367395963567,32.547248731651656,31.905865930408947,26.644153498300998,30.517904601758808,22.65914809174409,22.57296601706768,31.846620764259495,27.326986286218602,25.380515087163683,25.690030211029136,26.27107720356928,23.35798965598776,26.689625041798447,17.482336866325745
Total_acc1,3.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,5.0,1.0,5.0,0.0,2.0,13.0
Total_acc2,7.0,7.0,8.0,2.0,3.0,4.0,4.0,2.0,9.0,5.0,2.0,6.0,2.0,2.0,7.0,2.0,7.0,2.0,8.0,5.0,3.0,17.0
Total_acc3,9.0,8.0,8.0,6.0,7.0,7.0,7.0,6.0,12.0,5.0,3.0,6.0,5.0,6.0,11.0,6.0,11.0,7.0,13.0,8.0,7.0,21.0
Total_acc5,13.0,15.0,13.0,11.0,13.0,13.0,13.0,11.0,21.0,9.0,6.0,6.0,12.0,12.0,20.0,11.0,17.0,14.0,20.0,17.0,14.0,26.0
rate_acc1,0.075,0.075,0.1,0.05,0.025,0.05,0.05,0.05,0.125,0.025,0.05,0.05,0.05,0.05,0.075,0.05,0.125,0.025,0.125,0.0,0.05,0.325
rate_acc2,0.175,0.175,0.2,0.05,0.075,0.1,0.1,0.05,0.225,0.125,0.05,0.15,0.05,0.05,0.175,0.05,0.175,0.05,0.2,0.125,0.075,0.425
rate_acc3,0.225,0.2,0.2,0.15,0.175,0.175,0.175,0.15,0.3,0.125,0.075,0.15,0.125,0.15,0.275,0.15,0.275,0.175,0.325,0.2,0.175,0.525
rate_acc5,0.325,0.375,0.325,0.275,0.325,0.325,0.325,0.275,0.525,0.225,0.15,0.15,0.3,0.3,0.5,0.275,0.425,0.35,0.5,0.425,0.35,0.65
