,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,1536,787,667,893,168,combine
class2Mut36_T10,13.0,13.0,13.0,12.0,15.0,12.0,12.0,12.0,12.0,10.0,7.0,9.0,12.0,12.0,12.0,15.0,16.0,14.0,13.0,17.0,15.0,2.0
class2Mut190_T7,17.0,17.0,17.0,15.0,8.0,15.0,15.0,15.0,4.0,19.0,18.0,17.0,15.0,15.0,4.0,16.0,4.0,8.0,5.0,4.0,5.0,7.0
class2Mut135_T9,11.0,9.0,10.0,10.0,13.0,8.0,8.0,10.0,13.0,9.0,7.0,12.0,7.0,10.0,13.0,10.0,13.0,15.0,14.0,15.0,14.0,1.0
class2Mut18_T13,2.0,2.0,2.0,14.0,4.0,14.0,14.0,14.0,2.0,21.0,19.0,21.0,14.0,14.0,2.0,6.0,2.0,4.0,2.0,3.0,4.0,4.0
class2Mut192_T10,13.0,13.0,13.0,12.0,15.0,12.0,12.0,12.0,12.0,10.0,7.0,9.0,12.0,12.0,12.0,15.0,16.0,14.0,13.0,17.0,15.0,2.0
class2Mut14_T0,5.0,5.0,5.0,3.0,7.0,3.0,3.0,3.0,20.0,2.0,9.0,8.0,3.0,3.0,20.0,3.0,11.0,9.0,7.0,6.0,8.0,11.0
class2Mut128_T14,15.0,15.0,15.0,15.0,14.0,15.0,15.0,15.0,11.0,11.0,6.0,10.0,15.0,15.0,11.0,14.0,14.0,13.0,11.0,16.0,14.0,5.0
class2Mut37_T12,14.0,14.0,14.0,13.0,11.0,13.0,13.0,13.0,8.0,14.0,5.0,13.0,13.0,13.0,8.0,11.0,9.0,10.0,8.0,12.0,10.0,9.0
class2Mut2_T11,2.0,2.0,2.0,18.0,7.0,18.0,18.0,18.0,2.0,20.0,20.0,20.0,18.0,18.0,2.0,17.0,6.0,7.0,3.0,2.0,3.0,3.0
class2Mut70_T2,8.0,5.0,8.0,1.0,4.0,4.0,4.0,1.0,21.0,1.0,1.0,1.0,1.0,1.0,21.0,1.0,8.0,1.0,10.0,7.0,1.0,1.0
class2Mut26_T3,8.0,8.0,8.0,6.0,6.0,6.0,6.0,6.0,4.0,18.0,14.0,18.0,6.0,6.0,4.0,8.0,4.0,6.0,4.0,5.0,6.0,1.0
class2Mut79_T7,4.0,5.0,4.0,5.0,2.0,2.0,2.0,5.0,5.0,17.0,5.0,16.0,4.0,5.0,5.0,5.0,1.0,3.0,1.0,6.0,7.0,1.0
