,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,1110,2115,484,419,2317,2736,combine
median_Examscore(%),38.1,38.1,38.1,33.33,47.62,33.33,33.33,33.33,52.38,52.38,57.14,66.67,33.33,33.33,52.38,45.239999999999995,28.57,42.86,33.335,42.86,42.86,33.33,9.52
mean_Examscore(%),42.262,41.6665,42.14274999999999,42.02325,46.428749999999994,41.18925,41.18925,42.02325,50.118750000000006,54.88125,53.571749999999994,61.90475,41.427499999999995,42.02325,50.238000000000014,49.88224999999999,43.09599999999999,44.643750000000004,41.54750000000001,42.024,43.095749999999995,44.166250000000005,18.808999999999997
sd_Examscore(%),22.67504312041811,22.638614000113918,22.607665705548776,25.286735996798694,28.5266392987237,25.485937237209345,25.485937237209345,25.286735996798694,32.277600646975614,32.44090897802515,28.444222962420636,27.55674015809972,25.06343150324689,25.05578600330849,32.09602700870608,29.591531488473745,29.531785987131624,27.209666427859503,28.572316505891163,28.118441781242577,27.19394096235598,25.51957827473865,16.912672050785936
Total_acc1,1.0,0.0,0.0,4.0,1.0,2.0,2.0,4.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,5.0,4.0,4.0,4.0,16.0
Total_acc2,3.0,4.0,4.0,4.0,6.0,7.0,7.0,4.0,4.0,7.0,1.0,5.0,5.0,4.0,3.0,4.0,5.0,4.0,9.0,7.0,5.0,4.0,21.0
Total_acc3,7.0,5.0,7.0,8.0,7.0,7.0,7.0,8.0,8.0,7.0,5.0,5.0,6.0,8.0,9.0,8.0,8.0,8.0,10.0,9.0,7.0,5.0,25.0
Total_acc5,10.0,14.0,10.0,13.0,13.0,15.0,15.0,13.0,14.0,11.0,8.0,5.0,14.0,14.0,14.0,10.0,17.0,14.0,16.0,18.0,17.0,8.0,27.0
rate_acc1,0.025,0.0,0.0,0.1,0.025,0.05,0.05,0.1,0.05,0.1,0.025,0.025,0.025,0.025,0.025,0.025,0.1,0.05,0.125,0.1,0.1,0.1,0.4
rate_acc2,0.075,0.1,0.1,0.1,0.15,0.175,0.175,0.1,0.1,0.175,0.025,0.125,0.125,0.1,0.075,0.1,0.125,0.1,0.225,0.175,0.125,0.1,0.525
rate_acc3,0.175,0.125,0.175,0.2,0.175,0.175,0.175,0.2,0.2,0.175,0.125,0.125,0.15,0.2,0.225,0.2,0.2,0.2,0.25,0.225,0.175,0.125,0.625
rate_acc5,0.25,0.35,0.25,0.325,0.325,0.375,0.375,0.325,0.35,0.275,0.2,0.125,0.35,0.35,0.35,0.25,0.425,0.35,0.4,0.45,0.425,0.2,0.675
