,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,1110,2115,484,419,2317,2736,combine
class2Mut51_T0,6.0,5.0,6.0,3.0,10.0,5.0,5.0,3.0,20.0,2.0,3.0,17.0,4.0,3.0,20.0,3.0,5.0,14.0,1.0,2.0,9.0,7.0,1.0
class2Mut180_T15,18.0,18.0,18.0,18.0,10.0,18.0,18.0,18.0,5.0,17.0,14.0,16.0,18.0,18.0,5.0,15.0,6.0,5.0,4.0,8.0,6.0,6.0,1.0
class2Mut151_T14,18.0,18.0,18.0,18.0,14.0,18.0,18.0,18.0,9.0,14.0,15.0,13.0,18.0,18.0,9.0,18.0,10.0,9.0,14.0,14.0,12.0,8.0,1.0
class2Mut179_T11,3.0,5.0,3.0,9.0,3.0,2.0,2.0,9.0,1.0,19.0,13.0,14.0,6.0,9.0,3.0,9.0,4.0,1.0,1.0,11.0,4.0,6.0,1.0
class2Mut38_T2,4.0,4.0,4.0,1.0,2.0,2.0,2.0,1.0,21.0,1.0,20.0,14.0,2.0,2.0,21.0,2.0,1.0,8.0,2.0,1.0,1.0,1.0,2.0
class2Mut158_T13,2.0,2.0,2.0,14.0,4.0,14.0,14.0,14.0,2.0,21.0,19.0,21.0,14.0,14.0,2.0,6.0,4.0,2.0,4.0,3.0,3.0,5.0,5.0
class2Mut87_T10,13.0,13.0,13.0,12.0,15.0,12.0,12.0,12.0,12.0,10.0,7.0,9.0,12.0,12.0,12.0,15.0,15.0,13.0,14.0,13.0,15.0,14.0,3.0
class2Mut177_T10,13.0,13.0,13.0,12.0,15.0,12.0,12.0,12.0,12.0,10.0,7.0,9.0,12.0,12.0,12.0,15.0,15.0,13.0,14.0,13.0,15.0,14.0,3.0
class2Mut45_T5,3.0,4.0,3.0,6.0,2.0,2.0,2.0,6.0,3.0,19.0,10.0,19.0,4.0,4.0,3.0,4.0,2.0,3.0,2.0,5.0,4.0,6.0,1.0
class2Mut127_T12,14.0,14.0,14.0,13.0,11.0,13.0,13.0,13.0,8.0,14.0,5.0,13.0,13.0,13.0,8.0,11.0,11.0,9.0,10.0,9.0,10.0,10.0,9.0
class2Mut13_T5,9.0,9.0,9.0,7.0,5.0,7.0,7.0,7.0,3.0,19.0,16.0,19.0,7.0,7.0,3.0,7.0,5.0,3.0,5.0,4.0,4.0,6.0,12.0
class2Mut37_T12,14.0,14.0,14.0,13.0,11.0,13.0,13.0,13.0,8.0,14.0,5.0,13.0,13.0,13.0,8.0,11.0,11.0,9.0,10.0,9.0,10.0,10.0,9.0
class2Mut194_T9,13.0,13.0,13.0,12.0,17.0,12.0,12.0,12.0,13.0,9.0,11.0,8.0,12.0,12.0,13.0,19.0,16.0,15.0,15.0,14.0,18.0,15.0,1.0
class2Mut16_T9,3.0,2.0,2.0,20.0,6.0,20.0,20.0,20.0,4.0,20.0,20.0,20.0,20.0,20.0,3.0,19.0,3.0,4.0,13.0,11.0,5.0,4.0,2.0
class2Mut26_T3,8.0,8.0,8.0,6.0,6.0,6.0,6.0,6.0,4.0,18.0,14.0,18.0,6.0,6.0,4.0,8.0,6.0,4.0,6.0,5.0,5.0,7.0,1.0
class2Mut55_T1,7.0,7.0,7.0,5.0,20.0,5.0,5.0,5.0,18.0,4.0,17.0,2.0,5.0,5.0,18.0,20.0,20.0,20.0,19.0,19.0,16.0,19.0,8.0
class2Mut137_T2,4.0,4.0,4.0,1.0,2.0,2.0,2.0,1.0,21.0,1.0,20.0,14.0,2.0,2.0,21.0,2.0,1.0,8.0,2.0,1.0,1.0,1.0,2.0
class2Mut170_T14,15.0,15.0,15.0,15.0,14.0,15.0,15.0,15.0,11.0,11.0,6.0,10.0,15.0,15.0,11.0,14.0,14.0,12.0,13.0,12.0,14.0,13.0,6.0
class2Mut72_T14,15.0,15.0,15.0,15.0,14.0,15.0,15.0,15.0,11.0,11.0,6.0,10.0,15.0,15.0,11.0,14.0,14.0,12.0,13.0,12.0,14.0,13.0,6.0
class2Mut165_T0,6.0,5.0,6.0,3.0,10.0,5.0,5.0,3.0,20.0,2.0,3.0,17.0,4.0,3.0,20.0,3.0,5.0,14.0,1.0,2.0,9.0,7.0,1.0
class2Mut185_T5,9.0,9.0,9.0,7.0,5.0,7.0,7.0,7.0,3.0,19.0,16.0,19.0,7.0,7.0,3.0,7.0,5.0,3.0,5.0,4.0,4.0,6.0,12.0
class2Mut197_T1,7.0,7.0,7.0,5.0,20.0,5.0,5.0,5.0,18.0,4.0,17.0,2.0,5.0,5.0,18.0,20.0,20.0,20.0,19.0,19.0,16.0,19.0,8.0
class2Mut95_T11,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,6.0,16.0,3.0,19.0,2.0,3.0,6.0,3.0,3.0,6.0,8.0,10.0,7.0,7.0,1.0
class2Mut81_T1,7.0,7.0,7.0,5.0,20.0,5.0,5.0,5.0,18.0,4.0,17.0,2.0,5.0,5.0,18.0,20.0,20.0,20.0,19.0,19.0,16.0,19.0,8.0
class2Mut166_T5,9.0,9.0,9.0,7.0,5.0,7.0,7.0,7.0,3.0,19.0,16.0,19.0,7.0,7.0,3.0,7.0,5.0,3.0,5.0,4.0,4.0,6.0,12.0
class2Mut25_T3,8.0,8.0,8.0,6.0,6.0,6.0,6.0,6.0,4.0,18.0,14.0,18.0,6.0,6.0,4.0,8.0,6.0,4.0,6.0,5.0,5.0,7.0,1.0
class2Mut149_T1,7.0,7.0,7.0,5.0,20.0,5.0,5.0,5.0,18.0,4.0,17.0,2.0,5.0,5.0,18.0,20.0,20.0,20.0,19.0,19.0,16.0,19.0,8.0
class2Mut77_T14,15.0,15.0,15.0,15.0,14.0,15.0,15.0,15.0,11.0,11.0,6.0,10.0,15.0,15.0,11.0,14.0,14.0,12.0,13.0,12.0,14.0,13.0,6.0
class2Mut135_T9,11.0,9.0,10.0,10.0,13.0,8.0,8.0,10.0,13.0,9.0,7.0,12.0,7.0,10.0,13.0,10.0,15.0,14.0,13.0,20.0,17.0,16.0,1.0
