,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,2069,565,2562,937,1580,2030,2377,759,combine
median_Examscore(%),40.480000000000004,40.480000000000004,40.480000000000004,57.14,40.480000000000004,57.14,57.14,57.14,35.715,69.05000000000001,59.519999999999996,76.19,57.14,57.14,35.715,47.62,30.95,33.33,26.189999999999998,33.33,28.57,30.95,35.715,30.95,11.905
mean_Examscore(%),44.5235,44.9995,44.5235,47.498749999999994,40.23849999999998,46.90325,46.90325,47.498749999999994,44.64224999999999,59.524,56.667000000000016,68.21425,47.618,47.61775,45.35649999999999,45.476499999999994,35.11924999999998,35.83324999999998,31.309499999999986,35.11974999999998,34.524999999999984,35.356749999999984,37.14349999999998,35.357249999999986,19.99899999999999
sd_Examscore(%),27.861428953543168,27.76530051276417,27.861428953543168,26.839723735394667,24.375831194243542,26.819813608360136,26.819813608360136,26.839723735394667,32.70305964573205,32.726997229998155,27.678933598103185,23.16296490116972,25.880314784278283,26.392311573492528,32.60134797826617,26.8292483480823,23.17159737834452,22.825386832175738,21.93852377405133,22.457640066841282,23.937757429826853,24.588583069623894,24.736776685114627,24.32674891464969,17.726323725479933
Total_acc1,3.0,2.0,3.0,5.0,1.0,2.0,2.0,5.0,5.0,4.0,0.0,0.0,1.0,1.0,3.0,1.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,14.0
Total_acc2,7.0,7.0,7.0,7.0,6.0,8.0,8.0,7.0,8.0,8.0,2.0,2.0,5.0,7.0,7.0,7.0,8.0,8.0,10.0,6.0,7.0,10.0,7.0,8.0,20.0
Total_acc3,8.0,7.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,5.0,2.0,7.0,9.0,9.0,9.0,10.0,9.0,13.0,10.0,13.0,11.0,11.0,8.0,23.0
Total_acc5,14.0,16.0,14.0,10.0,13.0,12.0,12.0,10.0,15.0,9.0,7.0,2.0,11.0,11.0,15.0,11.0,17.0,15.0,20.0,16.0,19.0,17.0,17.0,19.0,29.0
rate_acc1,0.075,0.05,0.075,0.125,0.025,0.05,0.05,0.125,0.125,0.1,0.0,0.0,0.025,0.025,0.075,0.025,0.1,0.125,0.1,0.125,0.1,0.1,0.125,0.125,0.35
rate_acc2,0.175,0.175,0.175,0.175,0.15,0.2,0.2,0.175,0.2,0.2,0.05,0.05,0.125,0.175,0.175,0.175,0.2,0.2,0.25,0.15,0.175,0.25,0.175,0.2,0.5
rate_acc3,0.2,0.175,0.2,0.225,0.225,0.225,0.225,0.225,0.225,0.2,0.125,0.05,0.175,0.225,0.225,0.225,0.25,0.225,0.325,0.25,0.325,0.275,0.275,0.2,0.575
rate_acc5,0.35,0.4,0.35,0.25,0.325,0.3,0.3,0.25,0.375,0.225,0.175,0.05,0.275,0.275,0.375,0.275,0.425,0.375,0.5,0.4,0.475,0.425,0.425,0.475,0.725
