,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,2069,565,2562,937,1580,2030,2377,759,combine
class2Mut184_T12,14.0,14.0,14.0,13.0,11.0,13.0,13.0,13.0,8.0,14.0,5.0,13.0,13.0,13.0,8.0,11.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0,10.0,10.0
class2Mut46_T10,13.0,13.0,13.0,12.0,15.0,12.0,12.0,12.0,12.0,10.0,7.0,9.0,12.0,12.0,12.0,15.0,14.0,14.0,13.0,14.0,14.0,15.0,13.0,14.0,3.0
class2Mut62_T8,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,20.0,3.0,2.0,1.0,2.0,1.0,2.0,6.0,4.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0
class2Mut35_T15,18.0,18.0,18.0,18.0,10.0,18.0,18.0,18.0,5.0,17.0,14.0,16.0,18.0,18.0,5.0,15.0,3.0,7.0,5.0,7.0,6.0,6.0,6.0,4.0,1.0
class2Mut156_T0,6.0,5.0,6.0,3.0,10.0,5.0,5.0,3.0,20.0,2.0,3.0,17.0,4.0,3.0,20.0,3.0,1.0,2.0,1.0,1.0,3.0,2.0,14.0,2.0,1.0
class2Mut112_T13,2.0,2.0,2.0,14.0,4.0,14.0,14.0,14.0,2.0,21.0,19.0,21.0,14.0,14.0,2.0,6.0,7.0,5.0,6.0,3.0,3.0,5.0,3.0,7.0,5.0
class2Mut116_T0,4.0,4.0,4.0,1.0,6.0,2.0,2.0,1.0,19.0,2.0,2.0,17.0,3.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,8.0,2.0,14.0,1.0,1.0
class2Mut10_T2,4.0,4.0,4.0,1.0,2.0,2.0,2.0,1.0,21.0,1.0,20.0,14.0,2.0,2.0,21.0,2.0,2.0,1.0,2.0,8.0,1.0,1.0,1.0,1.0,2.0
class2Mut97_T14,15.0,15.0,15.0,15.0,14.0,15.0,15.0,15.0,11.0,11.0,6.0,10.0,15.0,15.0,11.0,14.0,13.0,13.0,12.0,13.0,13.0,13.0,12.0,13.0,6.0
class2Mut34_T0,5.0,5.0,5.0,2.0,7.0,3.0,3.0,2.0,19.0,2.0,2.0,17.0,3.0,2.0,20.0,2.0,1.0,2.0,1.0,1.0,9.0,2.0,14.0,2.0,1.0
class2Mut183_T9,13.0,13.0,13.0,12.0,17.0,12.0,12.0,12.0,13.0,9.0,11.0,8.0,12.0,12.0,13.0,19.0,15.0,15.0,14.0,14.0,15.0,15.0,15.0,16.0,2.0
class2Mut4_T15,16.0,16.0,16.0,16.0,9.0,16.0,16.0,16.0,7.0,15.0,10.0,16.0,16.0,16.0,7.0,10.0,9.0,9.0,8.0,7.0,8.0,9.0,8.0,9.0,11.0
class2Mut87_T10,13.0,13.0,13.0,12.0,15.0,12.0,12.0,12.0,12.0,10.0,7.0,9.0,12.0,12.0,12.0,15.0,14.0,14.0,13.0,14.0,14.0,15.0,13.0,14.0,3.0
class2Mut115_T13,2.0,2.0,2.0,14.0,4.0,14.0,14.0,14.0,2.0,21.0,19.0,21.0,14.0,14.0,2.0,6.0,7.0,5.0,6.0,3.0,3.0,5.0,3.0,7.0,5.0
class2Mut43_T1,7.0,7.0,7.0,5.0,20.0,5.0,5.0,5.0,18.0,4.0,17.0,2.0,5.0,5.0,18.0,20.0,19.0,19.0,18.0,19.0,20.0,20.0,20.0,20.0,7.0
class2Mut168_T15,16.0,16.0,16.0,16.0,9.0,16.0,16.0,16.0,7.0,15.0,10.0,16.0,16.0,16.0,7.0,10.0,9.0,9.0,8.0,7.0,8.0,9.0,8.0,9.0,11.0
class2Mut91_T12,14.0,14.0,14.0,13.0,16.0,13.0,13.0,13.0,13.0,9.0,9.0,6.0,13.0,13.0,13.0,16.0,15.0,15.0,14.0,15.0,16.0,17.0,16.0,16.0,1.0
