,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,2733,692,2152,1700,196,2346,2960,1914,1263,combine
median_Examscore(%),38.1,38.1,38.1,45.239999999999995,40.480000000000004,42.86,42.86,45.239999999999995,38.1,66.67,47.62,66.67,42.86,45.239999999999995,38.1,45.239999999999995,30.95,38.1,33.33,38.1,38.1,28.57,33.33,33.33,38.1,11.905
mean_Examscore(%),42.73800000000001,42.8565,42.737750000000005,43.571000000000005,41.42899999999999,40.95125,40.95125,43.571000000000005,46.30825,58.09525,51.5475,59.40500000000001,42.14200000000001,43.690000000000005,46.904,45.95349999999999,35.7135,40.833999999999996,38.213750000000005,42.02474999999999,40.833499999999994,37.619499999999995,38.453500000000005,41.19025,42.024499999999996,19.403999999999993
sd_Examscore(%),25.710108876890008,25.127784555480947,25.574454450656773,25.393843974374416,28.35179086280451,27.062684043313315,27.062684043313315,25.393843974374416,31.660124227326456,31.23911305641186,27.533114025636802,26.414335948301698,25.825381293881396,25.079143444253354,30.94560735159312,27.314650201696264,25.19671107455017,25.539861734862576,25.09203762637841,25.28784901149572,24.91630982164504,28.567565609827437,27.691299619472264,27.077893764196805,25.011120803477684,16.19029256478503
Total_acc1,2.0,1.0,2.0,5.0,2.0,3.0,3.0,5.0,4.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,1.0,2.0,5.0,6.0,1.0,2.0,13.0
Total_acc2,4.0,5.0,5.0,6.0,9.0,11.0,11.0,6.0,7.0,6.0,2.0,5.0,7.0,6.0,4.0,6.0,9.0,6.0,6.0,5.0,4.0,7.0,7.0,4.0,6.0,20.0
Total_acc3,9.0,6.0,7.0,8.0,12.0,12.0,12.0,8.0,7.0,6.0,4.0,5.0,10.0,8.0,7.0,8.0,13.0,8.0,9.0,8.0,7.0,14.0,12.0,9.0,6.0,24.0
Total_acc5,15.0,16.0,15.0,14.0,15.0,16.0,16.0,14.0,15.0,9.0,8.0,5.0,14.0,14.0,15.0,12.0,16.0,13.0,15.0,14.0,15.0,19.0,16.0,18.0,14.0,27.0
rate_acc1,0.05,0.025,0.05,0.125,0.05,0.075,0.075,0.125,0.1,0.125,0.05,0.05,0.05,0.05,0.05,0.05,0.125,0.125,0.125,0.025,0.05,0.125,0.15,0.025,0.05,0.325
rate_acc2,0.1,0.125,0.125,0.15,0.225,0.275,0.275,0.15,0.175,0.15,0.05,0.125,0.175,0.15,0.1,0.15,0.225,0.15,0.15,0.125,0.1,0.175,0.175,0.1,0.15,0.5
rate_acc3,0.225,0.15,0.175,0.2,0.3,0.3,0.3,0.2,0.175,0.15,0.1,0.125,0.25,0.2,0.175,0.2,0.325,0.2,0.225,0.2,0.175,0.35,0.3,0.225,0.15,0.6
rate_acc5,0.375,0.4,0.375,0.35,0.375,0.4,0.4,0.35,0.375,0.225,0.2,0.125,0.35,0.35,0.375,0.3,0.4,0.325,0.375,0.35,0.375,0.475,0.4,0.45,0.35,0.675
