,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,2733,692,2152,1700,196,2346,2960,1914,1263,combine
class2Mut65_T7,4.0,5.0,4.0,5.0,2.0,2.0,2.0,5.0,5.0,17.0,5.0,16.0,4.0,5.0,5.0,5.0,4.0,7.0,9.0,8.0,5.0,3.0,3.0,4.0,10.0,1.0
class2Mut130_T11,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,6.0,16.0,3.0,19.0,2.0,3.0,6.0,3.0,3.0,8.0,5.0,8.0,6.0,3.0,3.0,5.0,4.0,1.0
class2Mut71_T8,1.0,2.0,2.0,5.0,2.0,1.0,1.0,5.0,1.0,20.0,4.0,16.0,3.0,4.0,1.0,4.0,3.0,3.0,3.0,4.0,1.0,3.0,3.0,2.0,4.0,2.0
class2Mut49_T14,15.0,15.0,15.0,15.0,14.0,15.0,15.0,15.0,11.0,11.0,6.0,10.0,15.0,15.0,11.0,14.0,12.0,13.0,12.0,13.0,12.0,12.0,13.0,12.0,13.0,6.0
class2Mut103_T10,13.0,13.0,13.0,12.0,15.0,12.0,12.0,12.0,12.0,10.0,7.0,9.0,12.0,12.0,12.0,15.0,13.0,14.0,13.0,14.0,13.0,15.0,14.0,13.0,14.0,2.0
class2Mut59_T7,11.0,11.0,11.0,9.0,8.0,9.0,9.0,9.0,5.0,17.0,13.0,17.0,9.0,9.0,5.0,9.0,7.0,8.0,7.0,8.0,5.0,3.0,7.0,4.0,8.0,9.0
class2Mut70_T2,8.0,5.0,8.0,1.0,4.0,4.0,4.0,1.0,21.0,1.0,1.0,1.0,1.0,1.0,21.0,1.0,1.0,1.0,1.0,7.0,8.0,1.0,1.0,3.0,1.0,1.0
class2Mut140_T12,14.0,14.0,14.0,13.0,11.0,13.0,13.0,13.0,8.0,14.0,5.0,13.0,13.0,13.0,8.0,11.0,9.0,10.0,9.0,10.0,9.0,9.0,10.0,9.0,10.0,8.0
class2Mut163_T2,4.0,4.0,4.0,1.0,2.0,2.0,2.0,1.0,21.0,1.0,20.0,14.0,2.0,2.0,21.0,2.0,1.0,1.0,1.0,2.0,8.0,1.0,1.0,3.0,2.0,3.0
class2Mut115_T13,2.0,2.0,2.0,14.0,4.0,14.0,14.0,14.0,2.0,21.0,19.0,21.0,14.0,14.0,2.0,6.0,4.0,4.0,4.0,5.0,2.0,6.0,4.0,2.0,5.0,5.0
class2Mut133_T10,13.0,13.0,13.0,12.0,15.0,12.0,12.0,12.0,12.0,10.0,7.0,9.0,12.0,12.0,12.0,15.0,13.0,14.0,13.0,14.0,13.0,15.0,14.0,13.0,14.0,2.0
class2Mut198_T9,11.0,9.0,10.0,10.0,13.0,8.0,8.0,10.0,13.0,9.0,7.0,12.0,7.0,10.0,13.0,10.0,14.0,16.0,17.0,15.0,14.0,15.0,15.0,13.0,16.0,1.0
class2Mut64_T15,16.0,16.0,16.0,16.0,9.0,16.0,16.0,16.0,7.0,15.0,10.0,16.0,16.0,16.0,7.0,10.0,8.0,9.0,8.0,9.0,7.0,7.0,8.0,5.0,9.0,11.0
class2Mut20_T7,3.0,4.0,4.0,5.0,2.0,2.0,2.0,5.0,5.0,17.0,3.0,19.0,3.0,4.0,5.0,4.0,3.0,7.0,4.0,9.0,5.0,3.0,3.0,4.0,8.0,1.0
class2Mut8_T3,8.0,8.0,8.0,6.0,6.0,6.0,6.0,6.0,4.0,18.0,14.0,18.0,6.0,6.0,4.0,8.0,6.0,6.0,6.0,7.0,4.0,2.0,6.0,7.0,7.0,1.0
class2Mut93_T2,4.0,4.0,4.0,1.0,2.0,2.0,2.0,1.0,21.0,1.0,20.0,14.0,2.0,2.0,21.0,2.0,1.0,1.0,1.0,2.0,8.0,1.0,1.0,3.0,2.0,3.0
class2Mut195_T12,14.0,14.0,14.0,13.0,11.0,13.0,13.0,13.0,8.0,14.0,5.0,13.0,13.0,13.0,8.0,11.0,9.0,10.0,9.0,10.0,9.0,9.0,10.0,9.0,10.0,8.0
class2Mut160_T1,7.0,7.0,7.0,5.0,20.0,5.0,5.0,5.0,18.0,4.0,17.0,2.0,5.0,5.0,18.0,20.0,18.0,19.0,18.0,20.0,20.0,20.0,19.0,20.0,19.0,7.0
class2Mut180_T15,18.0,18.0,18.0,18.0,10.0,18.0,18.0,18.0,5.0,17.0,14.0,16.0,18.0,18.0,5.0,15.0,6.0,7.0,7.0,5.0,5.0,5.0,6.0,6.0,7.0,1.0
class2Mut174_T0,5.0,5.0,5.0,3.0,7.0,3.0,3.0,3.0,20.0,2.0,9.0,8.0,3.0,3.0,20.0,3.0,2.0,2.0,2.0,1.0,14.0,8.0,2.0,14.0,1.0,10.0
class2Mut170_T14,15.0,15.0,15.0,15.0,14.0,15.0,15.0,15.0,11.0,11.0,6.0,10.0,15.0,15.0,11.0,14.0,12.0,13.0,12.0,13.0,12.0,12.0,13.0,12.0,13.0,6.0
class2Mut84_T1,7.0,7.0,7.0,5.0,20.0,5.0,5.0,5.0,18.0,4.0,17.0,2.0,5.0,5.0,18.0,20.0,18.0,19.0,18.0,20.0,20.0,20.0,19.0,20.0,19.0,7.0
class2Mut11_T11,3.0,5.0,4.0,9.0,3.0,2.0,2.0,9.0,2.0,19.0,12.0,12.0,6.0,9.0,3.0,9.0,2.0,5.0,4.0,3.0,3.0,4.0,4.0,12.0,5.0,1.0
class2Mut100_T15,18.0,18.0,18.0,18.0,10.0,18.0,18.0,18.0,5.0,17.0,14.0,15.0,18.0,18.0,5.0,15.0,6.0,7.0,7.0,5.0,5.0,5.0,8.0,5.0,7.0,1.0
class2Mut55_T1,7.0,7.0,7.0,5.0,20.0,5.0,5.0,5.0,18.0,4.0,17.0,2.0,5.0,5.0,18.0,20.0,18.0,19.0,18.0,20.0,20.0,20.0,19.0,20.0,19.0,7.0
class2Mut26_T3,8.0,8.0,8.0,6.0,6.0,6.0,6.0,6.0,4.0,18.0,14.0,18.0,6.0,6.0,4.0,8.0,6.0,6.0,6.0,7.0,4.0,2.0,6.0,7.0,7.0,1.0
class2Mut161_T13,2.0,2.0,2.0,14.0,4.0,14.0,14.0,14.0,2.0,21.0,19.0,21.0,14.0,14.0,2.0,6.0,4.0,4.0,4.0,5.0,2.0,6.0,4.0,2.0,5.0,5.0
class2Mut54_T14,15.0,15.0,15.0,15.0,14.0,15.0,15.0,15.0,11.0,11.0,8.0,9.0,15.0,15.0,11.0,14.0,12.0,12.0,14.0,12.0,12.0,13.0,14.0,12.0,14.0,1.0
class2Mut104_T13,3.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,21.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,5.0,3.0,3.0,3.0,3.0,1.0,10.0,5.0,1.0
class2Mut10_T2,4.0,4.0,4.0,1.0,2.0,2.0,2.0,1.0,21.0,1.0,20.0,14.0,2.0,2.0,21.0,2.0,1.0,1.0,1.0,2.0,8.0,1.0,1.0,3.0,2.0,3.0
class2Mut31_T10,13.0,13.0,13.0,12.0,15.0,12.0,12.0,12.0,12.0,10.0,7.0,9.0,12.0,12.0,12.0,15.0,13.0,14.0,13.0,14.0,13.0,15.0,14.0,13.0,14.0,2.0
class2Mut111_T7,11.0,11.0,11.0,9.0,8.0,9.0,9.0,9.0,5.0,17.0,13.0,17.0,9.0,9.0,5.0,9.0,7.0,8.0,7.0,8.0,5.0,3.0,7.0,4.0,8.0,9.0
class2Mut142_T15,16.0,16.0,16.0,16.0,9.0,16.0,16.0,16.0,7.0,15.0,10.0,16.0,16.0,16.0,7.0,10.0,8.0,9.0,8.0,9.0,7.0,7.0,8.0,5.0,9.0,11.0
class2Mut124_T9,13.0,13.0,13.0,12.0,17.0,12.0,12.0,12.0,13.0,9.0,11.0,8.0,12.0,12.0,13.0,19.0,14.0,15.0,15.0,15.0,16.0,16.0,18.0,15.0,15.0,2.0
class2Mut89_T10,13.0,13.0,13.0,12.0,15.0,12.0,12.0,12.0,12.0,10.0,7.0,9.0,12.0,12.0,12.0,15.0,13.0,14.0,13.0,14.0,13.0,15.0,14.0,13.0,14.0,2.0
class2Mut153_T8,1.0,1.0,1.0,10.0,3.0,10.0,10.0,10.0,1.0,20.0,18.0,20.0,10.0,10.0,1.0,5.0,3.0,3.0,3.0,4.0,1.0,5.0,3.0,1.0,4.0,4.0
class2Mut69_T10,13.0,13.0,13.0,12.0,15.0,12.0,12.0,12.0,12.0,10.0,7.0,9.0,12.0,12.0,12.0,15.0,13.0,14.0,13.0,14.0,13.0,15.0,14.0,13.0,14.0,2.0
class2Mut83_T15,16.0,16.0,16.0,16.0,9.0,16.0,16.0,16.0,7.0,15.0,10.0,16.0,16.0,16.0,7.0,10.0,8.0,9.0,8.0,9.0,7.0,7.0,8.0,5.0,9.0,11.0
class2Mut181_T2,4.0,4.0,4.0,1.0,2.0,2.0,2.0,1.0,21.0,1.0,20.0,14.0,2.0,2.0,21.0,2.0,1.0,1.0,1.0,2.0,8.0,1.0,1.0,3.0,2.0,3.0
class2Mut179_T11,3.0,5.0,3.0,9.0,3.0,2.0,2.0,9.0,1.0,19.0,13.0,14.0,6.0,9.0,3.0,9.0,2.0,5.0,4.0,3.0,3.0,5.0,4.0,20.0,4.0,1.0
