testcase_index,trace,Passed/Failed
1,"['t1', 't2', 't4', 't5', 't7', 't12', 't16', 't9', 't23']",Passed
2,"['t1', 't4', 't6']",Failed
3,"['t1', 't4']",Failed
4,"['t1', 't4', 't5', 't25', 't27', 't29', 't26', 't8', 't10']",Passed
5,"['t1', 't4', 't6']",Failed
6,"['t1', 't2', 't4']",Failed
7,"['t1', 't4', 't6']",Failed
8,"['t1', 't4']",Failed
9,"['t1', 't4', 't5', 't7', 't12', 't15']",Passed
10,"['t1', 't2', 't4', 't6']",Failed
11,"['t1', 't4']",Failed
12,"['t1', 't4']",Failed
13,"['t1', 't4', 't5', 't23', 't1', 't2', 't2']",Passed
14,"['t1', 't4']",Failed
15,"['t1', 't2', 't4', 't6']",Failed
16,"['t1', 't2', 't2', 't4', 't5', 't23', 't1', 't2']",Passed
17,"['t1', 't4', 't6']",Failed
18,"['t1', 't4']",Failed
19,"['t1', 't2', 't4', 't6']",Failed
20,"['t1', 't2', 't4', 't5', 't23', 't1', 't4']",Failed
21,"['t1', 't4', 't5', 't7', 't13', 't15', 't13', 't16', 't11', 't16']",Passed
22,"['t1', 't2', 't2', 't4', 't5', 't8', 't19']",Passed
23,"['t1', 't4']",Failed
24,"['t1', 't2', 't4']",Failed
25,"['t1', 't2', 't4', 't6']",Failed
26,"['t1', 't2', 't4']",Failed
27,"['t1', 't4', 't5', 't8', 't19', 't20', 't17', 't20']",Passed
28,"['t1', 't2', 't2', 't4', 't5', 't25', 't27']",Passed
29,"['t1', 't2', 't4', 't5', 't8', 't17', 't22', 't10']",Passed
30,"['t1', 't4', 't5', 't25', 't27', 't29', 't26', 't8', 't19', 't20']",Passed
31,"['t1', 't2', 't4', 't6']",Failed
32,"['t1', 't4', 't6']",Failed
33,"['t1', 't2', 't2', 't4']",Failed
34,"['t1', 't2', 't4']",Failed
35,"['t1', 't2', 't4', 't5', 't25', 't28', 't29']",Passed
36,"['t1', 't4', 't5', 't25', 't28', 't30', 't27', 't30']",Passed
37,"['t1', 't2', 't4']",Failed
38,"['t1', 't4', 't5', 't23', 't1', 't4', 't6']",Failed
39,"['t1', 't2', 't4']",Failed
40,"['t1', 't2', 't2', 't4']",Failed
41,"['t1', 't2', 't4']",Failed
42,"['t1', 't2', 't4', 't5', 't23', 't1', 't2', 't2', 't4']",Failed
43,"['t1', 't2', 't4', 't6']",Failed
44,"['t1', 't2', 't4']",Failed
45,"['t1', 't4', 't6']",Failed
46,"['t1', 't2', 't4', 't5', 't25', 't26', 't25', 't26', 't7', 't12']",Passed
47,"['t1', 't2', 't2', 't4']",Failed
48,"['t1', 't4']",Failed
49,"['t1', 't4', 't6']",Failed
50,"['t1', 't2', 't4']",Failed
51,"['t1', 't2', 't4', 't5', 't8', 't10', 't7', 't12', 't16']",Passed
52,"['t1', 't2', 't2', 't4', 't6']",Failed
53,"['t1', 't4', 't5', 't7', 't9', 't8', 't19', 't22', 't19']",Passed
54,"['t1', 't2', 't4', 't6']",Failed
55,"['t1', 't4']",Failed
56,"['t1', 't4']",Failed
57,"['t1', 't4', 't5', 't23', 't1', 't2']",Passed
58,"['t1', 't2', 't2', 't4', 't5', 't7', 't13']",Passed
59,"['t1', 't2', 't4', 't6']",Failed
60,"['t1', 't4']",Failed
61,"['t1', 't2', 't2', 't4']",Failed
62,"['t1', 't2', 't4', 't6']",Failed
63,"['t1', 't4']",Failed
64,"['t1', 't2', 't4']",Failed
65,"['t1', 't4', 't5', 't25', 't26', 't8', 't21', 't20']",Passed
66,"['t1', 't4']",Failed
67,"['t1', 't2', 't4', 't6']",Failed
68,"['t1', 't4', 't5', 't23', 't1', 't4']",Passed
69,"['t1', 't2', 't2', 't4', 't6']",Failed
70,"['t1', 't4', 't5', 't23', 't1', 't2', 't2', 't4']",Passed
71,"['t1', 't2', 't4']",Failed
72,"['t1', 't2', 't2', 't4']",Failed
73,"['t1', 't2', 't4', 't5', 't8', 't17', 't22']",Passed
74,"['t1', 't4', 't6']",Failed
75,"['t1', 't4', 't5', 't8', 't10', 't7', 't11', 't16']",Passed
76,"['t1', 't4']",Failed
