testcase_index,trace,Passed/Failed
1,"['t1', 't2', 't3', 't5', 't5', 't5', 't5', 't4', 't9']",Passed
2,"['t1', 't2', 't3', 't4', 't9', 't12']",Failed
3,"['t1', 't17', 't1', 't2', 't3', 't4', 't6', 't4', 't9', 't12']",Failed
4,"['t1', 't17', 't1', 't2', 't3']",Passed
5,"['t1', 't2', 't3', 't5', 't4', 't6', 't4', 't9', 't12']",Failed
6,"['t1', 't2', 't3', 't4', 't6']",Passed
7,"['t1', 't17', 't1', 't2', 't3', 't4', 't9']",Passed
8,"['t1', 't17', 't1', 't2', 't3', 't4', 't6']",Passed
9,"['t1', 't17', 't1', 't2', 't3']",Passed
10,"['t1', 't2', 't3', 't4', 't6']",Passed
11,"['t1', 't17', 't1', 't17', 't1', 't2']",Passed
12,"['t1', 't17', 't1', 't17', 't1', 't17', 't1']",Passed
13,"['t1', 't2', 't3', 't4', 't9', 't12']",Failed
14,"['t1', 't17', 't1', 't2', 't3', 't5', 't4', 't6', 't4', 't6']",Passed
15,"['t1', 't17', 't1', 't17', 't1']",Passed
16,"['t1', 't17', 't1', 't2', 't3', 't5', 't5', 't4', 't6']",Passed
17,"['t1', 't2', 't3', 't4', 't6']",Passed
18,"['t1', 't2', 't3', 't4', 't6', 't4', 't6']",Passed
19,"['t1', 't17', 't1', 't2', 't3', 't4']",Passed
20,"['t1', 't17', 't1', 't2', 't3', 't5', 't5']",Passed
21,"['t1', 't2', 't3', 't4', 't6', 't5', 't4', 't6', 't5', 't4']",Passed
22,"['t1', 't17', 't1', 't17', 't1', 't2', 't3', 't4', 't9']",Passed
23,"['t1', 't2', 't3', 't5', 't4']",Passed
24,"['t1', 't17', 't1', 't17', 't1', 't2', 't3']",Passed
25,"['t1', 't2', 't3', 't5', 't4', 't6', 't5']",Passed
26,"['t1', 't17', 't1', 't2', 't3', 't5', 't5', 't5', 't4', 't6']",Passed
27,"['t1', 't17', 't1', 't17', 't1', 't2', 't3', 't4', 't9', 't12']",Failed
28,"['t1', 't2', 't3', 't5', 't5', 't4', 't9']",Passed
29,"['t1', 't17', 't1', 't2', 't3', 't4', 't6', 't5', 't5']",Passed
30,"['t1', 't2', 't3', 't5', 't4', 't9', 't12']",Failed
31,"['t1', 't2', 't3', 't4', 't6', 't4', 't9', 't12']",Failed
32,"['t1', 't2', 't3', 't4', 't6', 't5', 't4']",Passed
33,"['t1', 't2', 't3', 't4', 't9', 't12']",Failed
34,"['t1', 't17', 't1', 't17', 't1', 't17', 't1', 't2', 't3']",Passed
35,"['t1', 't17', 't1', 't17', 't1', 't17']",Passed
36,"['t1', 't2', 't3', 't4', 't6', 't5', 't4', 't6', 't4']",Passed
37,"['t1', 't17', 't1', 't2', 't3', 't4', 't9', 't12']",Failed
38,"['t1', 't2', 't3', 't5', 't5', 't4', 't6']",Passed
39,"['t1', 't2', 't3', 't5', 't5', 't4', 't9', 't12']",Failed
40,"['t1', 't17', 't1', 't17', 't1', 't2', 't3', 't5', 't5']",Passed
41,"['t1', 't2', 't3', 't4', 't6', 't5', 't4', 't9', 't12']",Failed
42,"['t1', 't17', 't1', 't2', 't3', 't5', 't4']",Passed
43,"['t1', 't17', 't1', 't2', 't3', 't4', 't9', 't12']",Failed
44,"['t1', 't17', 't1', 't2', 't3', 't4', 't6']",Passed
45,"['t1', 't2', 't3', 't4', 't9', 't12']",Failed
46,"['t1', 't17', 't1', 't17', 't1', 't2']",Passed
47,"['t1', 't17', 't1', 't17', 't1', 't2', 't3', 't4', 't9', 't12']",Failed
48,"['t1', 't2', 't3', 't4', 't6', 't4', 't6']",Passed
49,"['t1', 't2', 't3', 't4', 't6']",Passed
50,"['t1', 't2', 't3', 't5', 't4']",Passed
51,"['t1', 't17', 't1', 't17', 't1', 't2', 't3', 't5', 't5', 't5']",Passed
52,"['t1', 't17', 't1', 't17', 't1', 't2', 't3', 't5', 't4']",Passed
53,"['t1', 't17', 't1', 't2', 't3', 't5']",Passed
54,"['t1', 't2', 't3', 't5', 't5']",Passed
55,"['t1', 't17', 't1', 't2', 't3', 't5', 't5', 't5', 't5']",Passed
56,"['t1', 't2', 't3', 't5', 't5', 't5', 't4', 't6']",Passed
57,"['t1', 't2', 't3', 't5', 't4', 't6', 't5', 't4']",Passed
58,"['t1', 't17', 't1', 't2', 't3']",Passed
59,"['t1', 't2', 't3', 't5', 't5', 't4', 't6', 't4', 't9', 't12']",Failed
60,"['t1', 't17', 't1', 't17', 't1', 't2', 't3', 't4', 't9', 't12']",Failed
61,"['t1', 't17', 't1', 't17', 't1', 't17', 't1', 't2', 't3', 't5']",Passed
62,"['t1', 't2', 't3', 't5', 't4', 't6']",Passed
63,"['t1', 't2', 't3', 't5', 't4']",Passed
64,"['t1', 't17', 't1', 't2', 't3', 't5', 't5', 't5']",Passed
65,"['t1', 't17', 't1', 't17', 't1', 't17', 't1', 't2', 't3', 't4']",Passed
66,"['t1', 't2', 't3', 't5', 't4', 't9', 't12']",Failed
67,"['t1', 't2', 't3', 't4', 't9', 't12']",Failed
68,"['t1', 't2', 't3', 't5', 't4', 't9', 't12']",Failed
69,"['t1', 't2', 't3', 't4', 't9', 't12']",Failed
70,"['t1', 't2', 't3', 't4', 't6', 't5']",Passed
71,"['t1', 't17', 't1', 't2', 't3']",Passed
72,"['t1', 't17', 't1', 't2', 't3', 't4', 't9', 't12']",Failed
73,"['t1', 't2', 't3', 't5', 't4']",Passed
74,"['t1', 't17', 't1', 't17', 't1', 't2', 't3']",Passed
75,"['t1', 't2', 't3', 't5', 't4', 't9', 't12']",Failed
76,"['t1', 't2', 't3', 't4', 't6', 't5', 't5', 't5', 't5']",Passed
77,"['t1', 't2', 't3', 't5', 't5', 't5', 't5', 't5']",Passed
78,"['t1', 't2', 't3', 't4', 't6', 't4', 't6', 't4', 't6']",Passed
79,"['t1', 't2', 't3', 't5', 't4', 't9', 't12']",Failed
80,"['t1', 't17', 't1', 't2', 't3', 't4', 't9', 't12']",Failed
81,"['t1', 't2', 't3', 't4', 't9']",Passed
82,"['t1', 't2', 't3', 't4', 't6', 't4']",Passed
83,"['t1', 't17', 't1', 't2', 't3', 't4']",Passed
84,"['t1', 't2', 't3', 't4', 't9', 't12']",Failed
85,"['t1', 't17', 't1', 't2', 't3', 't4', 't9']",Passed
86,"['t1', 't17', 't1', 't17', 't1', 't17', 't1', 't17']",Passed
87,"['t1', 't2', 't3', 't4', 't6', 't4']",Passed
88,"['t1', 't17', 't1', 't17', 't1', 't17']",Passed
89,"['t1', 't2', 't3', 't5', 't4']",Passed
90,"['t1', 't17', 't1', 't17', 't1', 't17', 't1', 't2', 't3', 't5']",Passed
91,"['t1', 't17', 't1', 't17', 't1', 't2', 't3']",Passed
92,"['t1', 't17', 't1', 't2', 't3', 't5']",Passed
93,"['t1', 't17', 't1', 't2', 't3', 't4', 't6', 't4', 't6']",Passed
94,"['t1', 't2', 't3', 't4', 't9']",Passed
95,"['t1', 't2', 't3', 't4', 't6', 't4']",Passed
96,"['t1', 't2', 't3', 't5', 't5', 't5', 't4', 't9', 't12']",Failed
97,"['t1', 't17', 't1', 't2', 't3', 't5', 't4', 't9', 't12']",Failed
98,"['t1', 't17', 't1', 't2', 't3', 't4']",Passed
99,"['t1', 't2', 't3', 't4', 't6', 't4', 't6']",Passed
100,"['t1', 't17', 't1', 't17', 't1', 't17']",Passed
101,"['t1', 't2', 't3', 't5', 't4', 't6', 't4', 't9', 't12']",Failed
102,"['t1', 't17', 't1', 't2', 't3', 't4', 't6', 't5', 't4']",Passed
103,"['t1', 't2', 't3', 't5', 't4']",Passed
104,"['t1', 't2', 't3', 't4', 't6', 't4', 't9']",Passed
105,"['t1', 't2', 't3', 't4', 't9', 't12']",Failed
106,"['t1', 't2', 't3', 't5', 't5', 't4', 't9']",Passed
107,"['t1', 't2', 't3', 't5', 't5', 't4', 't6', 't5', 't5', 't4']",Passed
108,"['t1', 't2', 't3', 't5', 't4']",Passed
109,"['t1', 't2', 't3', 't4', 't9']",Passed
110,"['t1', 't2', 't3', 't4', 't6', 't4', 't6', 't5']",Passed
111,"['t1', 't17', 't1', 't17', 't1', 't17', 't1']",Passed
112,"['t1', 't17', 't1', 't17', 't1', 't17', 't1', 't2', 't3', 't5']",Passed
113,"['t1', 't2', 't3', 't4', 't6', 't4', 't9', 't12']",Failed
114,"['t1', 't17', 't1', 't2', 't3']",Passed
115,"['t1', 't17', 't1', 't17', 't1', 't2', 't3', 't5', 't5']",Passed
116,"['t1', 't17', 't1', 't17', 't1', 't17', 't1', 't17', 't1']",Passed
117,"['t1', 't2', 't3', 't5', 't5', 't4', 't6']",Passed
118,"['t1', 't17', 't1', 't2', 't3', 't4', 't6', 't4', 't9', 't12']",Failed
119,"['t1', 't17', 't1', 't2', 't3']",Passed
120,"['t1', 't17', 't1', 't17', 't1', 't17']",Passed
121,"['t1', 't2', 't3', 't4', 't9', 't12']",Failed
122,"['t1', 't2', 't3', 't4', 't6', 't5']",Passed
123,"['t1', 't2', 't3', 't4', 't6']",Passed
124,"['t1', 't2', 't3', 't4', 't9', 't12']",Failed
125,"['t1', 't2', 't3', 't5', 't5', 't4', 't6', 't5', 't5']",Passed
126,"['t1', 't2', 't3', 't4', 't9']",Passed
127,"['t1', 't17', 't1', 't2', 't3', 't5', 't5', 't4', 't6', 't5']",Passed
128,"['t1', 't2', 't3', 't4', 't9', 't12']",Failed
129,"['t1', 't2', 't3', 't4', 't6', 't4', 't9', 't12']",Failed
130,"['t1', 't2', 't3', 't5', 't5', 't4', 't9']",Passed
131,"['t1', 't2', 't3', 't4', 't6', 't5']",Passed
132,"['t1', 't17', 't1', 't17', 't1', 't17', 't1', 't2']",Passed
133,"['t1', 't17', 't1', 't2', 't3', 't5', 't4', 't9', 't12']",Failed
134,"['t1', 't2', 't3', 't4', 't9', 't12']",Failed
135,"['t1', 't17', 't1', 't2', 't3', 't5', 't5', 't4', 't9']",Passed
136,"['t1', 't17', 't1', 't2', 't3']",Passed
137,"['t1', 't17', 't1', 't2', 't3', 't5', 't5', 't5']",Passed
138,"['t1', 't17', 't1', 't17', 't1', 't17', 't1', 't17', 't1']",Passed
139,"['t1', 't2', 't3', 't4', 't6', 't5', 't5', 't5']",Passed
140,"['t1', 't2', 't3', 't5', 't4', 't9']",Passed
141,"['t1', 't17', 't1', 't17', 't1', 't17', 't1']",Passed
142,"['t1', 't17', 't1', 't17', 't1', 't2', 't3', 't5', 't4']",Passed
143,"['t1', 't2', 't3', 't4', 't6', 't4', 't6', 't4', 't6']",Passed
144,"['t1', 't2', 't3', 't4', 't6']",Passed
145,"['t1', 't17', 't1', 't17', 't1']",Passed
146,"['t1', 't2', 't3', 't4', 't6', 't5', 't5']",Passed
147,"['t1', 't17', 't1', 't2', 't3', 't4', 't9', 't12']",Failed
148,"['t1', 't17', 't1', 't2', 't3', 't4', 't6', 't5', 't4']",Passed
149,"['t1', 't2', 't3', 't5', 't5', 't4', 't9', 't12']",Failed
150,"['t1', 't17', 't1', 't2', 't3', 't5', 't5', 't4']",Passed
151,"['t1', 't2', 't3', 't5', 't4', 't9', 't12']",Failed
152,"['t1', 't17', 't1', 't2', 't3', 't4', 't6', 't5', 't4']",Passed
153,"['t1', 't2', 't3', 't5', 't5']",Passed
154,"['t1', 't17', 't1', 't17', 't1', 't2', 't3']",Passed
