testcase_index,trace,Passed/Failed
1,"['t1', 't6', 't18', 't1', 't5', 't12', 't9', 't14', 't17', 't18']",Passed
2,"['t4', 't2', 't9', 't9', 't15', 't10', 't15']",Passed
3,"['t1', 't6', 't18', 't1', 't6', 't18', 't1', 't6', 't18', 't4']",Passed
4,"['t0', 't2', 't10', 't16', 't20', 't0', 't2']",Passed
5,"['t4', 't2', 't17', 't18', 't1', 't6', 't18', 't0', 't2', 't17']",Passed
6,"['t0', 't2', 't10', 't17', 't18', 't0', 't2', 't9', 't16']",Passed
7,"['t1', 't6', 't18', 't1', 't6', 't18', 't4']",Passed
8,"['t1', 't6', 't18', 't0', 't2', 't17', 't18', 't0', 't2', 't14']",Passed
9,"['t0', 't2', 't14', 't10', 't10', 't14', 't9']",Passed
10,"['t4', 't2', 't9', 't16', 't20', 't1', 't6']",Passed
11,"['t0', 't2', 't14', 't17', 't18', 't1', 't6', 't18', 't4']",Passed
12,"['t4', 't2', 't10', 't12', 't17', 't18', 't0', 't2', 't12']",Passed
13,"['t4', 't2', 't9', 't9', 't14', 't17', 't18']",Passed
14,"['t1', 't6', 't18', 't0', 't2', 't10', 't17', 't18', 't1', 't6']",Passed
15,"['t1', 't6', 't18', 't0', 't2', 't14']",Passed
16,"['t1', 't6', 't18', 't1', 't6', 't18', 't0', 't2', 't17']",Passed
17,"['t0', 't2', 't10', 't16', 't19', 't4']",Passed
18,"['t0', 't2', 't16', 't20', 't0', 't2', 't16', 't20', 't1']",Passed
19,"['t1', 't6', 't18', 't0', 't2', 't11']",Passed
20,"['t1', 't6', 't18', 't0', 't2', 't17']",Passed
21,"['t0', 't2', 't12', 't17', 't18', 't1', 't6', 't18', 't0']",Passed
22,"['t4', 't2', 't16', 't20', 't1', 't6', 't18', 't1', 't6']",Passed
23,"['t1', 't6', 't18', 't1', 't6', 't18', 't0', 't2', 't16']",Passed
24,"['t0', 't2', 't10', 't12', 't9', 't7']",Passed
25,"['t4', 't2', 't10', 't16', 't19', 't0', 't2', 't12', 't17']",Passed
26,"['t0', 't2', 't11', 't9', 't11', 't9', 't9', 't7', 't16', 't19']",Passed
27,"['t0', 't2', 't12', 't12']",Failed
28,"['t1', 't6', 't18', 't1', 't6', 't18']",Passed
29,"['t0', 't2', 't14', 't17', 't18', 't0', 't2']",Passed
30,"['t1', 't6', 't18', 't1', 't6', 't18', 't1', 't6', 't18', 't4']",Passed
31,"['t0', 't2', 't10', 't10', 't12', 't17', 't18', 't0']",Passed
32,"['t4', 't2', 't14', 't17', 't18', 't1', 't6', 't18', 't4']",Passed
33,"['t0', 't2', 't10', 't14', 't14', 't17']",Passed
34,"['t4', 't2', 't9', 't9', 't10', 't10', 't10']",Passed
35,"['t1', 't6', 't18', 't4', 't2', 't12', 't9', 't17', 't18', 't0']",Passed
36,"['t0', 't2', 't12', 't10', 't17', 't18', 't0']",Passed
37,"['t1', 't6', 't18', 't0', 't2', 't10', 't12', 't17', 't18', 't0']",Passed
38,"['t0', 't2', 't14', 't9', 't14', 't9', 't14', 't16']",Passed
39,"['t0', 't2', 't17', 't18', 't1', 't6', 't18']",Passed
40,"['t1', 't6', 't18', 't1', 't6', 't18']",Passed
41,"['t1', 't6', 't18', 't0', 't2', 't16', 't19']",Passed
42,"['t1', 't6', 't18', 't0', 't2', 't9', 't10', 't12', 't9', 't17']",Passed
