class2Mut10_T2,3,0.012
class2Mut11_T11,19,0.076
class2Mut12_T7,3,0.012
class2Mut13_T5,3,0.012
class2Mut14_T0,3,0.012
class2Mut15_T13,3,0.012
class2Mut16_T9,87,0.348
class2Mut17_T14,28,0.112
class2Mut18_T13,3,0.012
class2Mut19_T2,14,0.056
class2Mut1_T0,5,0.02
class2Mut20_T7,5,0.02
class2Mut2_T11,21,0.084
class2Mut3_T2,3,0.012
class2Mut4_T15,3,0.012
class2Mut5_T13,3,0.012
class2Mut6_T5,3,0.012
class2Mut7_T1,5,0.02
class2Mut8_T3,3,0.012
class2Mut9_T8,5,0.02
class2Mut21_T8,21,0.084
class2Mut22_T10,3,0.012
class2Mut23_T8,3,0.012
class2Mut24_T13,3,0.012
class2Mut25_T3,3,0.012
class2Mut26_T3,3,0.012
class2Mut27_T10,3,0.012
class2Mut28_T3,7,0.028
class2Mut29_T8,3,0.012
class2Mut30_T9,23,0.092
class2Mut31_T10,3,0.012
class2Mut32_T2,3,0.012
class2Mut33_T3,3,0.012
class2Mut34_T0,6,0.024
class2Mut35_T15,17,0.068
class2Mut36_T10,3,0.012
class2Mut37_T12,3,0.012
class2Mut38_T2,3,0.012
class2Mut39_T2,20,0.08
class2Mut40_T3,3,0.012
class2Mut41_T11,51,0.204
class2Mut42_T7,4,0.016
class2Mut43_T1,3,0.012
class2Mut44_T0,5,0.02
class2Mut45_T5,4,0.016
class2Mut46_T10,3,0.012
class2Mut47_T2,14,0.056
class2Mut48_T0,5,0.02
class2Mut49_T14,3,0.012
class2Mut50_T8,5,0.02
class2Mut100_T15,15,0.06
class2Mut51_T0,5,0.02
class2Mut52_T3,3,0.012
class2Mut53_T11,20,0.08
class2Mut54_T14,6,0.024
class2Mut55_T1,3,0.012
class2Mut56_T0,5,0.02
class2Mut57_T12,3,0.012
class2Mut58_T1,3,0.012
class2Mut59_T7,3,0.012
class2Mut60_T15,17,0.068
class2Mut61_T0,3,0.012
class2Mut62_T8,21,0.084
class2Mut63_T12,3,0.012
class2Mut64_T15,3,0.012
class2Mut65_T7,4,0.016
class2Mut66_T10,3,0.012
class2Mut67_T3,3,0.012
class2Mut68_T3,3,0.012
class2Mut69_T10,3,0.012
